donor_id,knowledge_donor_or_principle,evidence_source,template_backbone,search_backbone,stage_block_depth,channel_width,timestep,template_memory,MRM,MRM_count,MRM_dimensions,search_memory_interaction,prediction_head,loss_training,runtime_export_structure,input_resolution,promising_ids,notes
D01,FARTrack task-specific self-distillation,E03;E04,POSSIBLE,POSSIBLE,PROMISING,POSSIBLE,NONE,NONE,POSSIBLE,POSSIBLE,POSSIBLE,POSSIBLE,POSSIBLE,PROMISING,NONE,NONE,P01;P02,"Transfer task-facing supervision and static prefix conditioning, not the coordinate-token head."
D02,FARTrack inter-frame autoregressive sparsification,E03;E04,NONE,POSSIBLE,POSSIBLE,NONE,NONE,PROMISING,POSSIBLE,NONE,POSSIBLE,POSSIBLE,POSSIBLE,NONE,POSSIBLE,NONE,P03,"Test a SpikeTrack-specific persistent compression decision only at template-update time."
D03,AsymTrack template-once asymmetry,E09,POSSIBLE,POSSIBLE,NONE,NONE,NONE,POSSIBLE,INCOMPATIBLE,NONE,NONE,INCOMPATIBLE,NONE,NONE,PROMISING,NONE,P06,"SpikeTrack already has analogous asymmetric execution; direct modulation is contradicted by its own ablation."
D04,CompressTracker stage replacement and feature mimicking,E10,POSSIBLE,POSSIBLE,PROMISING,POSSIBLE,NONE,NONE,POSSIBLE,POSSIBLE,POSSIBLE,POSSIBLE,POSSIBLE,NONE,NONE,NONE,P04,"Stage-wise teacher guidance is plausible, but conventional-transformer components cannot be copied directly."
D05,MixFormerV2 deep-to-shallow and dense-to-sparse distillation,E11,POSSIBLE,POSSIBLE,POSSIBLE,NONE,NONE,NONE,POSSIBLE,NONE,NONE,POSSIBLE,POSSIBLE,POSSIBLE,NONE,NONE,,"Strong collision reference; FARTrack gives a closer task-specific formulation."
D06,LiteTrack asynchronous feature extraction and layer pruning,E12,POSSIBLE,POSSIBLE,POSSIBLE,NONE,NONE,POSSIBLE,NONE,NONE,NONE,NONE,NONE,NONE,POSSIBLE,NONE,,"SpikeTrack already caches template evidence; residual value is static pruning and implementation organization."
D07,DyTrack dynamic routes and target-aware self-distillation,E13,POSSIBLE,POSSIBLE,POSSIBLE,NONE,NONE,NONE,POSSIBLE,INCOMPATIBLE,POSSIBLE,POSSIBLE,POSSIBLE,POSSIBLE,NONE,NONE,,"Generic adaptive computation is collision-prone; conditional whole-MRM1 skipping is explicitly out of scope."
D08,FastSeqTrack parallel generation and confidence exit,E14,NONE,POSSIBLE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,POSSIBLE,POSSIBLE,NONE,,"SpikeTrack already has a parallel center head; only bounded head/exit contrasts remain."
D09,LoReTrack cross-resolution QKV and discrimination distillation,E15,POSSIBLE,POSSIBLE,NONE,NONE,NONE,NONE,POSSIBLE,NONE,NONE,POSSIBLE,POSSIBLE,POSSIBLE,NONE,PROMISING,P05,"Resolution-specific teacher supervision directly targets lost interaction and target evidence."
D10,MCITrack persistent contextual hidden state,E16,NONE,POSSIBLE,NONE,NONE,POSSIBLE,POSSIBLE,POSSIBLE,POSSIBLE,POSSIBLE,POSSIBLE,POSSIBLE,NONE,POSSIBLE,NONE,,"Possible accuracy donor but likely increases memory and recurrent compute."
D11,ARPTrack autoregressive sequential pretraining,E17,POSSIBLE,POSSIBLE,NONE,NONE,POSSIBLE,NONE,POSSIBLE,NONE,NONE,NONE,POSSIBLE,PROMISING,NONE,NONE,P07,"Moves appearance-motion learning to training without requiring an inference-time module."
D12,HiT lightweight hierarchy and bridge module,E18,POSSIBLE,PROMISING,POSSIBLE,POSSIBLE,NONE,NONE,POSSIBLE,POSSIBLE,POSSIBLE,POSSIBLE,POSSIBLE,POSSIBLE,NONE,POSSIBLE,P10,"A SpikeTrack-native hierarchical search redesign is plausible but expensive and collision-prone."
D13,CPDATrack target-aware pruning and selective attention,E19,NONE,POSSIBLE,NONE,NONE,NONE,NONE,POSSIBLE,NONE,NONE,POSSIBLE,INCOMPATIBLE,NONE,POSSIBLE,NONE,,"One-stream directional attention is incompatible; target-aware search sparsity remains a possible principle."
D14,SpikeFET spike spatial-temporal regularization,E20,POSSIBLE,POSSIBLE,NONE,NONE,POSSIBLE,NONE,POSSIBLE,NONE,NONE,NONE,POSSIBLE,PROMISING,NONE,NONE,P08,"Loss-level transfer is more plausible than frame-event architecture transfer."
D15,STDTrack quality-based memory and reparameterized head,E21,NONE,NONE,NONE,NONE,NONE,PROMISING,POSSIBLE,NONE,NONE,POSSIBLE,POSSIBLE,POSSIBLE,POSSIBLE,NONE,P09,"External donor; quality control can target template updates without conditional MRM execution."
