id,source_type,title,year,stable_url,accessed_yyyy_mm_dd,used_for,important_limit
R1,journal article,"TPT-Bench: A large-scale long-term and robot-egocentric dataset for benchmarking target person tracking",2026,https://doi.org/10.1177/02783649261447308,2026-08-17,"robot-person domain; crowded sequences; occlusion/re-identification","human pushed sensor cart; not autonomous robot proof"
R2,dataset record,"TPT-Bench: A Large-Scale Long-Term and Robot-Egocentric Dataset for Benchmarking Target Person Tracking",2025,https://doi.org/10.5281/zenodo.17718188,2026-08-17,"data scale; annotations; access record; toolkit","copyright record; do not redistribute"
R3,conference paper,"Is Tracking Really More Challenging in First Person Egocentric Vision?",2025,https://openaccess.thecvf.com/content/ICCV2025/papers/Dunnhofer_Is_Tracking_Really_More_Challenging_in_First_Person_Egocentric_Vision_ICCV_2025_paper.pdf,2026-08-17,"viewpoint/activity-domain diagnostic","object/human-activity domain; not robot-person"
R4,conference paper and data documentation,"EgoTracks: A Long-Term Egocentric Visual Object Tracking Dataset",2023,https://proceedings.neurips.cc/paper_files/paper/2023/hash/ef01d91aa87e7701aa9c8dc66a2d5bdb-Abstract-Datasets_and_Benchmarks.html,2026-08-17,"long-term egocentric location and presence confidence","Ego4D access terms; not robot-person"
R5,conference paper,"TrackVLA: Embodied Visual Tracking in the Wild",2025,https://proceedings.mlr.press/v305/wang25f.html,2026-08-17,"embodied tracking direction and scope boundary","not a Jetson Nano baseline"
R6,official benchmark protocol,"VOT-LT2022 long-term subchallenge",2022,https://www.votchallenge.net/vot2022/participation.html,2026-08-17,"causal long-term bbox/presence/re-detection protocol","generic benchmark"
R7,official agency challenge,"DARPA Triage Challenge",2026,https://www.darpa.mil/research/challenges/darpa-triage-challenge/about,2026-08-17,"SAR/triage system scope","not a pure tracking benchmark"
R8,official agency program,"Performance of Emergency Response Robots",2026,https://www.nist.gov/programs-projects/performance-emergency-response-robots,2026-08-17,"emergency-response evaluation context","not a tracker result"
R9,official public-health bulletin,"Lone Workers",2024,https://www.cdc.gov/niosh/bulletin/2024/lone-workers.html,2026-08-17,"lone-worker safety context","does not certify RGB tracking"
R10,conference paper,"Improving Accuracy and Generalization for Efficient Visual Tracking",2025,https://openaccess.thecvf.com/content/WACV2025/html/Zaveri_Improving_Accuracy_and_Generalization_for_Efficient_Visual_Tracking_WACV_2025_paper.html,2026-08-24,"primary publication source for SiamABC","official CVF source inspected does not display a DOI; no Jetson Nano result"
R11,conference paper,"FARTrack: Fast Autoregressive Visual Tracking with High Performance",2026,https://openreview.net/forum?id=lq7Zfr8kAS,2026-08-24,"primary publication source for FARTrack; architecture; efficiency and benchmark evidence","generic SOT evidence; reported hardware is not Jetson Nano"
R12,official code repository,"FARTrack official PyTorch implementation",2026,https://github.com/MIV-XJTU/FARTrack/tree/5d3e4b90305c2e845340a39cb1ac9bb69c0c5180,2026-08-24,"owner MIV-XJTU; main at pinned commit; source; trained checkpoints; configurations; evaluation workflow","MAE backbone is separate; availability is not successful reproduction"
R13,conference paper,"Efficient Motion Prompt Learning for Robust Visual Tracking",2025,https://proceedings.mlr.press/v267/zhao25e.html,2026-08-24,"manager-lane Stage-1 reconciliation addition; publication/task evidence for MPT","plug-in tracking method; standalone-baseline suitability remains to be audited"
R14,official code repository,"Motion-Prompt-Tracking official PyTorch implementation",2025,https://github.com/zj5559/Motion-Prompt-Tracking,2026-08-24,"source; models/results; training/testing; HG3 evidence for MPT","repository availability is not successful reproduction"
R15,journal article,"FocTrack: Focus attention for visual tracking",2025,https://doi.org/10.1016/j.patcog.2024.111128,2026-08-24,"manager-lane Stage-1 reconciliation addition; publication/task evidence","complete official source+checkpoint+evaluator bundle not yet verified"
R16,journal article,"DSTrack: Diffusion-based sequence learning for visual object tracking",2025,https://doi.org/10.1016/j.patcog.2025.111694,2026-08-24,"manager-lane Stage-1 reconciliation addition; publication/task evidence","complete official source+checkpoint+evaluator bundle not yet verified"
R17,journal article,"Motion Deep Association for spatio-temporal object tracking",2025,https://doi.org/10.1016/j.patcog.2025.111787,2026-08-24,"manager-lane Stage-1 reconciliation addition; publication/task evidence","complete official source+checkpoint+evaluator bundle not yet verified"
R18,conference paper,"SpikeTrack: A Spike-driven Framework for Efficient Visual Tracking",2026,https://openaccess.thecvf.com/content/CVPR2026/html/Zhang_SpikeTrack_A_Spike-driven_Framework_for_Efficient_Visual_Tracking_CVPR_2026_paper.html,2026-08-24,"primary publication source for SpikeTrack","official CVF source inspected does not display a DOI; no Jetson Nano result"
R19,official code repository,"SpikeTrack official implementation",2026,https://github.com/faicaiwawa/SpikeTrack/tree/1537db51a1cc9f6e30cce469fba3e51f5721b3d0,2026-08-24,"owner faicaiwawa; main at pinned commit; code; trained checkpoints; raw results; benchmark commands","SDTV3 backbone is separate; owner spelling differs on linked Hugging Face; availability is not reproduction"
R20,conference paper,"UETrack: A Unified and Efficient Framework for Single Object Tracking",2026,https://openaccess.thecvf.com/content/CVPR2026/html/Kang_UETrack_A_Unified_and_Efficient_Framework_for_Single_Object_Tracking_CVPR_2026_paper.html,2026-08-24,"primary publication source for UETrack","multimodal results are not RGB-only evidence; official CVF source inspected does not display a DOI"
R21,official code repository,"UETrack official implementation",2026,https://github.com/kangben258/UETrack/tree/fd13b0eaf16d51536008295f3b27807c69eaad50,2026-08-24,"owner kangben258; main at pinned commit; code; Base/Small/Tiny checkpoints; RGB and multimodal evaluators","backbone and teacher weights are separate; AGX speed is not Jetson Nano speed"
