candidate_id,candidate_short_name,batch,activation_status,manager_scientific_audit,codex_code_audit,reconciliation,hg4,hg5,hg6,soft_score,notes
CX007,SpikeTrack,A,STAGE2A_CLOSED_TARGETED_HG5_PENDING,COMPLETE,COMPLETE,COMPLETE,PASS,PENDING,PENDING,NOT_STARTED,HG4 PASS; targeted export/runtime profiling required before HG6.
CX009,UETrack,A,STAGE2A_CLOSED_SURVIVED_HG4_HG5,COMPLETE,COMPLETE,COMPLETE,PASS,PASS,PENDING,NOT_STARTED,Survives HG4/HG5; held for candidate-specific research-gap and later HG6 only after targeted HG5 phase closes project-wide.
CX010,UTPTrack,A,STAGE2A_CLOSED_TARGETED_HG5_PENDING,COMPLETE,COMPLETE,COMPLETE,PASS,PENDING,PENDING,NOT_STARTED,HG4 PASS; dynamic-operator/export/runtime profiling required before HG6.
CX013,FARTrack,A,STAGE2A_CLOSED_SURVIVED_HG4_HG5,COMPLETE,COMPLETE,COMPLETE,PASS,PASS,PENDING,NOT_STARTED,Survives HG4/HG5; prior familiarity gives no preferential treatment.
CX014,GOT-Edit,A,EXCLUDED_HG5_FAIL,COMPLETE,COMPLETE,COMPLETE,PENDING,FAIL,PENDING,NOT_STARTED,HG5 structural FAIL; retained as literature/novelty reference. HG4 left PENDING because single-3060 trainability remains unresolved.
CX017,GOT-JEPA,B,EXCLUDED_HG5_FAIL,COMPLETE,COMPLETE,COMPLETE,PENDING,FAIL,PENDING,NOT_STARTED,Always-on DINOv2-L/ToMP plus periodic point-tracking path makes released Nano route structurally implausible without core replacement.
CX020,SAMURAI,B,STAGE2A_CLOSED_TARGETED_HG5_PENDING,COMPLETE,COMPLETE,COMPLETE,PASS,PENDING,PENDING,NOT_STARTED,HG4 PASS; SAM2.1 host/export/history behavior requires targeted HG5 profiling before HG6.
CX024,DAM4SAM,B,STAGE2A_CLOSED_SURVIVED_HG4_HG5,COMPLETE,COMPLETE,COMPLETE,PASS,PASS,PENDING,NOT_STARTED,Survives HG4/HG5; lighter-host EfficientTAM/EdgeTAM evidence supports structural deployment plausibility, not Nano FPS.
CX037,SSTrack-AAAI,B,STAGE2A_CLOSED_TARGETED_HG5_PENDING,COMPLETE,COMPLETE,COMPLETE,PASS,PENDING,PENDING,NOT_STARTED,HG4 PASS; dynamic CE/template-history/export behavior requires targeted HG5 profiling before HG6.
CX038,MCITrack,B,STAGE2A_CLOSED_TARGETED_HG5_PENDING,COMPLETE,COMPLETE,COMPLETE,PASS,PENDING,PENDING,NOT_STARTED,HG4 PASS; always-on contextual fusion/template re-encoding/state export requires targeted HG5 profiling before HG6.
CX040,MambaLCT,C,EXCLUDED_HG3_FAIL,NOT_STARTED,NOT_STARTED,NOT_APPLICABLE,PENDING,PENDING,PENDING,NOT_STARTED,Final HG3 FAIL; retained as literature/reference only.
CX043,SUTrack,C,STAGE2A_CLOSED_SURVIVED_HG4_HG5,COMPLETE,COMPLETE,COMPLETE,PASS,PASS,PENDING,NOT_STARTED,Survives HG4/HG5; T224 supplies structural Nano plausibility only and actual device profiling remains mandatory later.
CX044,AsymTrack,C,STAGE2A_CLOSED_SURVIVED_HG4_HG5,COMPLETE,COMPLETE,COMPLETE,PASS,PASS,PENDING,NOT_STARTED,Survives HG4/HG5; small fused template-once graph supplies structural Nano plausibility only.
CX046,JDTrack,C,SUSPENDED_HG3_PENDING,NOT_STARTED,NOT_STARTED,NOT_STARTED,PENDING,PENDING,PENDING,NOT_STARTED,Required final JDTrack checkpoint availability not yet verified from official resource bundle.
CX049,SPMTrack,C,EXCLUDED_HG5_FAIL,COMPLETE,COMPLETE,COMPLETE,PASS,FAIL,PENDING,NOT_STARTED,HG5 FAIL: released 115M dense DINOv2-B plus 72 all-expert TMoE sites and repeated three-reference processing lacks credible Nano path without core replacement.
CX051,UMDATrack,D,SUSPENDED_HG3_PENDING,NOT_STARTED,NOT_STARTED,NOT_STARTED,PENDING,PENDING,PENDING,NOT_STARTED,Official stage-2 asset-to-evaluation checkpoint/protocol mapping remains unresolved.
CX053,UncTrack,D,STAGE2A_CLOSED_TARGETED_HG5_PENDING,COMPLETE,COMPLETE,COMPLETE,PASS,PENDING,PENDING,NOT_STARTED,HG4 PASS; bounded memory avoids structural fail but conditional second full inference and export/operator path need targeted HG5 profiling.
CX058,HiT-DyHiT,D,STAGE2A_CLOSED_SURVIVED_HG4_HG5,COMPLETE,COMPLETE,COMPLETE,PASS,PASS,PENDING,NOT_STARTED,Survives HG4/HG5; lightweight hierarchical family and early-exit route provide structural Nano plausibility only.
CX125,MPT,D,EXCLUDED_HG5_FAIL,COMPLETE,COMPLETE,COMPLETE,PASS,FAIL,PENDING,NOT_STARTED,HG5 FAIL: reproducible unit is full OSTrack ViT-B plus ~13M always-on MPT; Nano path would depend on host replacement/compression as a rescue step.
