provisional_id,candidate_scope,source_type,title,year,venue_or_status,stable_url,collision_class,used_for,important_limit
N1-S01,SpikeTrack,conference paper,"SEENN: Towards Temporal Spiking Early Exit Neural Networks",2023,NeurIPS,https://proceedings.neurips.cc/paper_files/paper/2023/hash/c801e68207da477bbc44182b9fac1129-Abstract.html,ADJACENT_PRIOR_ART,"input-conditioned SNN timestep allocation","classification/general SNN; no visual tracking MRM or distractor coupling"
N1-S02,SpikeTrack,conference paper,"Towards Efficient Spiking Transformer: a Token Sparsification Framework for Training and Inference Acceleration",2024,ICML,https://proceedings.mlr.press/v235/zhuge24b.html,ADJACENT_PRIOR_ART,"spiking-transformer token sparsification","not visual tracking; no MRM/distractor allocation"
N1-S03,SpikeTrack,conference paper,"Adaptive Calibration: A Unified Conversion Framework of Spiking Neural Networks",2025,AAAI,https://doi.org/10.1609/aaai.v39i2.32150,ADJACENT_PRIOR_ART,"input-aware adaptive timesteps and spike compression","ANN-to-SNN/general perception; no tracking-specific retrieval mechanism"
N1-S04,SpikeTrack,conference paper,"Temporal Representation Enhancement (TRE): Learning to Forget Dominant Patterns for Enhanced Temporal Spiking Features",2026,CVPR,https://openaccess.thecvf.com/content/CVPR2026/html/Liu_Temporal_Representation_Enhancement_TRE_Learning_to_Forget_Dominant_Patterns_for_CVPR_2026_paper.html,PARTIAL_COLLISION,"temporal spiking discriminability and dynamic suppression","classification/static and neuromorphic datasets; no retrieval-compute allocation in SOT"
N1-S05,SpikeTrack,conference paper,"Adaptive Capacity Autoregressive Visual Tracking",2026,CVPR,https://openaccess.thecvf.com/content/CVPR2026/html/Lin_Adaptive_Capacity_Autoregressive_Visual_Tracking_CVPR_2026_paper.html,PARTIAL_COLLISION,"difficulty-conditioned high/low tracker capacity","ANN autoregressive tracker; no spike MRM or similar-distractor retrieval question"
N1-S06,FARTrack,arXiv preprint,"BackTrack: Robust template update via Backward Tracking of candidate template",2023,arXiv-only,https://arxiv.org/abs/2308.10604,PARTIAL_COLLISION,"explicit template validity and rejection of unreliable updates","arXiv-only; no physical multi-template token compression"
N1-S07,FARTrack,journal article,"AMST: Object Tracking Based on Collaborative Framework with Adaptive Multi-Strategy",2025,Information Sciences,https://doi.org/10.1016/j.ins.2025.122364,PARTIAL_COLLISION,"online reliability evaluation of template quality/quantity and adaptive selection","collaborative multi-tracker system; not FARTrack-specific physical token compression"
N1-S08,FARTrack,conference paper,"Exploring Reliable Spatiotemporal Dependencies for Efficient Visual Tracking",2026,AAAI,https://doi.org/10.1609/aaai.v40i11.37853,PARTIAL_COLLISION,"quality-based reliable spatiotemporal token maintenance","does not physically compress FARTrack templates by explicit absence validity"
N1-S09,FARTrack,conference paper,"Drift-Resilient Temporal Priors for Visual Tracking",2026,CVPR,https://openaccess.thecvf.com/content/CVPR2026/html/Huang_Drift-Resilient_Temporal_Priors_for_Visual_Tracking_CVPR_2026_paper.html,PARTIAL_COLLISION,"per-frame temporal reliability calibration and compact priors","module integrated into other trackers; not exact physical FARTrack template active-set"
N1-S10,FARTrack,conference paper,"An Efficient Token Compression Framework for Visual Object Tracking",2026,CVPR,https://openaccess.thecvf.com/content/CVPR2026/html/Wu_An_Efficient_Token_Compression_Framework_for_Visual_Object_Tracking_CVPR_2026_paper.html,DIRECT_COLLISION,"historical-template token burden and performance degradation addressed by adaptive physical compression","token-level rather than explicit frame-level absence validity, but same gap-level efficiency–robustness coupling"
N1-S11,FARTrack,journal article,"Search Region-Guided Adaptive Template Update for Robust Multi-Modal UAV Tracking",2026,Remote Sensing,https://doi.org/10.3390/rs18111817,PARTIAL_COLLISION,"search-conditioned template selection, dynamic threshold, structured memory and redundancy control","multimodal UAV tracking rather than generic RGB FARTrack"
