node_id,label,node_type,anchor,publication_status,source_graph,description,evidence_source
NBR_FAR,FARTrack Connected Papers neighborhood,LITERATURE_NEIGHBORHOOD,NO,N/A,N/A,Discovery provenance only; topology unavailable.,E01
NBR_SPIKE,SpikeTrack Connected Papers neighborhood,LITERATURE_NEIGHBORHOOD,NO,N/A,N/A,Discovery provenance only; topology unavailable.,E02
A_FAR,FARTrack,ANCHOR_TRACKER,YES,N/A,N/A,Lightweight/autoregressive knowledge anchor.,E03;E04
A_SPIKE,SpikeTrack,ANCHOR_TRACKER,YES,N/A,N/A,Spike-driven redesign anchor.,E05;E06;E07
P_P001,Adaptive Target-Oriented Tracking,PAPER,NO,peer-reviewed journal,BOTH,2025 | SUPPORTING,E01;E02
P_P002,Adaptively Bypassing Vision Transformer Blocks for Efficient Visual Tracking,PAPER,NO,arXiv/preprint only,FARTrack,2024 | SUPPORTING,E01
P_P003,AdaptTrack: Perception field adaptation with contrastive attention for robust visual tracking,PAPER,NO,peer-reviewed journal,FARTrack,2026 | SUPPORTING,E01
P_P004,Autoregressive Queries for Adaptive Tracking with Spatio-Temporal Transformers,PAPER,NO,peer-reviewed conference,SpikeTrack,2024 | SUPPORTING,E02
P_P005,Autoregressive Sequential Pretraining for Visual Tracking,PAPER,NO,peer-reviewed conference,FARTrack,2025 | SUPPORTING,E01
P_P006,AViTMP: A Tracking-Specific Transformer for Single-Branch Visual Tracking,PAPER,NO,peer-reviewed journal,SpikeTrack,2023 | SUPPORTING,E02
P_P007,CasCenter: A Cascaded Center Network for Visual Tracking,PAPER,NO,peer-reviewed journal,FARTrack,2025 | SUPPORTING,E01
P_P008,CATrack: Combining Convolutional and Attentional Methods for Visual Object Tracking,PAPER,NO,peer-reviewed journal,SpikeTrack,2023 | SUPPORTING,E02
P_P009,CausTrack: Visual tracking via structural causality and deconfounded feature learning,PAPER,NO,peer-reviewed journal,FARTrack,2025 | SUPPORTING,E01
P_P010,CiteTracker: Correlating Image and Text for Visual Tracking,PAPER,NO,peer-reviewed conference,SpikeTrack,2023 | SUPPORTING,E02
