record_id,dataset,sequence,local_path_status,ground_truth_status,raw_result_status,frame_count_or_na,official_attributes_or_na,candidate_distractor_reason,selection_basis,manager_review_status,notes
ST4A-SI-001,OTB100,Bolt,"AVAILABLE_COMPLETE: E:\Robot_Backup\TrackingResearch-master\OtherTracker\verified\Vital_release-master\dataset\Bolt",AVAILABLE_COMPLETE,AVAILABLE_OFFICIAL_S256_T1_TEMP_NOT_USED_FOR_SELECTION,350,"OPR;OCC;DEF;IPR","Multiple similarly sized runners co-occur in source frame 175.","Direct source-frame visual inspection independent of tracker output; local image/GT completeness; official OTB metadata.",PENDING,"Inventory only; no SpikeTrack prediction, score, raw-result value, or failure frame was used; no split or ambiguity label assigned."
ST4A-SI-002,OTB100,Couple,"AVAILABLE_COMPLETE: E:\Robot_Backup\TrackingResearch-master\OtherTracker\verified\SRDCF\SRDCF\sequences\Couple",AVAILABLE_COMPLETE,AVAILABLE_OFFICIAL_S256_T1_TEMP_NOT_USED_FOR_SELECTION,140,"OPR;SV;DEF;FM;BC","Two adjacent/overlapping pedestrians co-occur in source frame 70.","Direct source-frame visual inspection independent of tracker output; local image/GT completeness; official OTB metadata.",PENDING,"Predeclared for bounded reproduction from completeness and length only; inventory remains unfrozen; no split or ambiguity label assigned."
ST4A-SI-003,OTB100,Crossing,"AVAILABLE_COMPLETE: E:\Robot_Backup\TrackingResearch-master\OtherTracker\verified\ECO-master\sequences\Crossing",AVAILABLE_COMPLETE,AVAILABLE_OFFICIAL_S256_T1_TEMP_NOT_USED_FOR_SELECTION,120,"SV;DEF;BC",,"Local image/GT completeness and official OTB metadata only; no tracker output inspected.",PENDING,"Predeclared for bounded reproduction from completeness and length only; inventory remains unfrozen; no split or ambiguity label assigned."
ST4A-SI-004,OTB100,Deer,"AVAILABLE_COMPLETE: E:\Robot_Backup\TrackingResearch-master\OtherTracker\verified\TRACA-master\sequence\Deer",AVAILABLE_COMPLETE,AVAILABLE_OFFICIAL_S256_T1_TEMP_NOT_USED_FOR_SELECTION,71,"MB;FM;IPR;BC;LR","Multiple same-species deer co-occur in source frame 36.","Direct source-frame visual inspection independent of tracker output; local image/GT completeness; official OTB metadata.",PENDING,"Predeclared for bounded reproduction from completeness and length only; inventory remains unfrozen; no split or ambiguity label assigned."
ST4A-SI-005,OTB100,Diving,"AVAILABLE_OFFICIAL_RANGE: E:\Robot_Backup\TrackingResearch-master\OtherTracker\verified\MDNet-master\dataset\OTB\Diving (official frames 1-215 available; 16 extra tail images ignored)",AVAILABLE_215_FRAME_GROUND_TRUTH,AVAILABLE_OFFICIAL_S256_T1_TEMP_NOT_USED_FOR_SELECTION,"215 official / 231 image files",NA,,"Local filesystem completeness against the official OTB frame range only; no tracker output inspected.",PENDING,"Inventory only; no split or ambiguity label assigned."
ST4A-SI-006,OTB100,DragonBaby,"AVAILABLE_COMPLETE: E:\Robot_Backup\TrackingResearch-master\OtherTracker\verified\LTMU-master\DiMP_LTMU\pyMDNet\datasets\OTB\DragonBaby",AVAILABLE_COMPLETE,AVAILABLE_OFFICIAL_S256_T1_TEMP_NOT_USED_FOR_SELECTION,113,NA,,"Local image/GT completeness only; no tracker output inspected.",PENDING,"Inventory only; no split or ambiguity label assigned."
ST4A-SI-007,OTB100,FaceOcc1,"AVAILABLE_COMPLETE: E:\Robot_Backup\TrackingResearch-master\OtherTracker\verified\ASRCF-master\seq\FaceOcc1",AVAILABLE_COMPLETE,AVAILABLE_OFFICIAL_S256_T1_TEMP_NOT_USED_FOR_SELECTION,892,OCC,,"Local image/GT completeness and official OTB metadata only; no tracker output inspected.",PENDING,"Inventory only; no split or ambiguity label assigned."
ST4A-SI-008,OTB100,Jogging_1,"AVAILABLE_COMPLETE: E:\Robot_Backup\TrackingResearch-master\OtherTracker\verified\SAMF\data\Jogging1 (local folder name; maps to official Jogging_1)",AVAILABLE_COMPLETE,AVAILABLE_OFFICIAL_S256_T1_TEMP_NOT_USED_FOR_SELECTION,307,"OPR;OCC;DEF","Two similarly sized runners co-occur in source frame 154.","Direct source-frame visual inspection independent of tracker output; local image/GT completeness; official OTB metadata.",PENDING,"Inventory only; mapping must be staged for the official loader; no split or ambiguity label assigned."
ST4A-SI-009,OTB100,MotorRolling,"AVAILABLE_COMPLETE: E:\Robot_Backup\TrackingResearch-master\OtherTracker\verified\HCFTstar-master\OTB_dataset\MotorRolling",AVAILABLE_COMPLETE,AVAILABLE_OFFICIAL_S256_T1_TEMP_NOT_USED_FOR_SELECTION,164,"IV;SV;MB;FM;IPR;BC;LR",,"Local image/GT completeness and official OTB metadata only; no tracker output inspected.",PENDING,"Inventory only; no split or ambiguity label assigned."
ST4A-SI-010,OTB100,Skiing,"AVAILABLE_COMPLETE: E:\Robot_Backup\TrackingResearch-master\OtherTracker\verified\DSiam\DSiam\sequences\Skiing",AVAILABLE_COMPLETE,AVAILABLE_OFFICIAL_S256_T1_TEMP_NOT_USED_FOR_SELECTION,81,"IV;OPR;SV;DEF;IPR",,"Local image/GT completeness and official OTB metadata only; no tracker output inspected.",PENDING,"Inventory only; visual suitability requires Manager review; no split or ambiguity label assigned."
