proposal_id,dataset,sequence,broad_superclass,object_class,official_attributes,interval_start,interval_end,interval_length,evidence_tier,distractor_description,similarity_basis,search_context_status,midpoint_distractor_bbox_or_na,target_visibility,occlusion_state,fast_motion_from_gt,low_resolution_from_gt,scan_method,proposed_split,contact_sheet_path,manager_review_status,notes
R1-P01,OTB100,Basketball,PERSON,person,IV|OCC|DEF|OPR|BC,397,435,39,TIER_A,Celtics teammate in matching green uniform co-occurs near target player #9,same class; same team role and uniform; comparable full-body scale,INSIDE_NOMINAL_SEARCH,130 137 72 93,GT target fully visible throughout,no meaningful target occlusion,false,false,25 uniform coarse frames; frame-by-frame source+GT refinement 375-435; no tracker output,DISCOVERY_CANDIDATE,screening/codex/artifacts/stage4A_S1_R1/contact_sheets/R1-P01_Basketball_397_435.jpg,PENDING,Midpoint f416 red box marks the nearby green-uniform teammate; bounds and tier are provisional
R1-P02,OTB100,Bolt,PERSON,person,OCC|DEF|IPR|OPR,31,49,19,TIER_B,Adjacent dark-kit sprinter remains one lane from the target,same class; comparable build scale and sprint pose,INSIDE_NOMINAL_SEARCH,279 151 45 61,GT target clear throughout,unoccluded; kits remain distinguishable,false,false,25 uniform coarse frames; frame-by-frame source+GT refinement 1-60; no tracker output,DISCOVERY_CANDIDATE,screening/codex/artifacts/stage4A_S1_R1/contact_sheets/R1-P02_Bolt_31_49.jpg,PENDING,Strong Tier B due distinct kit colors; midpoint f40 manual distractor box
R1-P03,OTB100,Crowds,PERSON,person,IV|DEF|BC,33,37,5,TIER_B,Light-top adult pedestrian stays immediately lower-left of the target,same class and adult pedestrian silhouette at comparable overhead-view scale,INSIDE_NOMINAL_SEARCH,415 338 29 47,GT target visible throughout,slight body-edge overlap; no full occlusion,false,false,25 uniform coarse frames; frame-by-frame source+GT refinement 1-60; no tracker output,HOLDOUT_CANDIDATE,screening/codex/artifacts/stage4A_S1_R1/contact_sheets/R1-P03_Crowds_33_37.jpg,PENDING,Five-frame core avoids later identity and boundary ambiguity; midpoint f35 manual box
R1-P04,OTB100,BlurCar2,VEHICLE,car,SV|MB|FM,420,440,21,TIER_B,Light silver sedan remains immediately ahead-right of the target car,same class; comparable rear-facing sedan profile and road scale,INSIDE_NOMINAL_SEARCH,365 180 95 65,GT target fully visible throughout,no occlusion; intermittent motion blur,false,false,25 uniform coarse frames; frame-by-frame source+GT refinement 390-450; no tracker output,DISCOVERY_CANDIDATE,screening/codex/artifacts/stage4A_S1_R1/contact_sheets/R1-P04_BlurCar2_420_440.jpg,PENDING,Strong Tier B; midpoint f430 manual distractor box
R1-P05,OTB100,BlurCar4,VEHICLE,car,MB|FM,255,279,25,TIER_A,Dark SUV or pickup travels parallel in the adjacent right lane,same class and dark rear silhouette at comparable scale,INSIDE_NOMINAL_SEARCH,344 177 162 145,GT target fully visible throughout,no meaningful occlusion; motion blur,false,false,25 uniform coarse frames; frame-by-frame source+GT refinement 230-290; no tracker output,HOLDOUT_CANDIDATE,screening/codex/artifacts/stage4A_S1_R1/contact_sheets/R1-P05_BlurCar4_255_279.jpg,PENDING,Midpoint f267 manual distractor box; provisional Manager review required
R1-P06,OTB100,Car24,VEHICLE,car,IV|SV|BC,640,678,39,TIER_B,White utility pickup or SUV with canopy travels immediately right of target,same road role and comparable vehicle scale; differing color weakens similarity,NEAR_SEARCH_BOUNDARY,187 96 58 66,GT target fully visible throughout,no occlusion,false,false,25 uniform coarse frames; frame-by-frame source+GT refinement 620-700; no tracker output,HOLDOUT_CANDIDATE,screening/codex/artifacts/stage4A_S1_R1/contact_sheets/R1-P06_Car24_640_678.jpg,PENDING,Distractor straddles right nominal-search boundary; midpoint f659 manual box
R1-P07,OTB100,Bird1,ANIMAL,bird,DEF|FM|OV,194,198,5,TIER_A,Separate black bird with matching size and wing silhouette passes upper-left,same class; similar dark body and wing form at comparable scale,NEAR_SEARCH_BOUNDARY,247 132 61 45,GT target body remains discernible,nearby wing clutter; no complete target occlusion,false,false,25 uniform coarse frames; frame-by-frame source+GT refinement 180-230; no tracker output,DISCOVERY_CANDIDATE,screening/codex/artifacts/stage4A_S1_R1/contact_sheets/R1-P07_Bird1_194_198.jpg,PENDING,Five-frame core avoids target-wing identity ambiguity; red box straddles left search boundary at f196
R1-P08,OTB100,Board,OBJECT_OTHER,other,SV|MB|FM|OPR|OV|BC,493,511,19,TIER_B,Flat component-covered PCB lies directly beneath raised rotating target PCB,same functional object type; similar component and wire texture,INSIDE_NOMINAL_SEARCH,397 291 125 60,GT target visible with strong foreshortening,target partly overlaps distractor at base; no full target occlusion,false,false,25 uniform coarse frames; frame-by-frame source+GT refinement 480-560; no tracker output,DISCOVERY_CANDIDATE,screening/codex/artifacts/stage4A_S1_R1/contact_sheets/R1-P08_Board_493_511.jpg,PENDING,Source imagery cannot prove physical independence; explicit Manager-review caveat; midpoint f502 manual box
R1-P09,OTB100,Liquor,OBJECT_OTHER,other,IV|SV|OCC|MB|FM|OPR|OV|BC,565,589,25,TIER_A,Dark-brown rectangular mini bottle with red cap remains beside target bottle,same functional role; upright bottle silhouette and comparable scale,INSIDE_NOMINAL_SEARCH,354 190 93 147,GT target fully visible throughout,unoccluded,false,false,25 uniform coarse frames; frame-by-frame source+GT refinement 540-620; no tracker output,DISCOVERY_CANDIDATE,screening/codex/artifacts/stage4A_S1_R1/contact_sheets/R1-P09_Liquor_565_589.jpg,PENDING,Midpoint f577 manual box marks the immediately right red-capped bottle
R1-P10,OTB100,Football,FACE_HEAD,person head,OCC|IPR|OPR|BC,130,154,25,TIER_A,Striped helmet of a light-uniform player stays immediately upper-left of target helmet,same role and near-identical football helmet form at comparable head scale,INSIDE_NOMINAL_SEARCH,258 17 45 52,GT target helmet remains visible,partial body and arm occlusion in scrum; no full target loss,false,false,25 uniform coarse frames; frame-by-frame source+GT refinement 130-190; no tracker output,DISCOVERY_CANDIDATE,screening/codex/artifacts/stage4A_S1_R1/contact_sheets/R1-P10_Football_130_154.jpg,PENDING,Midpoint f142 manual distractor helmet box
