paper_id,title,year,venue,doi,arxiv_id,publication_status,metadata_audit_tier,metadata_source_url,evidence_source
P001,Adaptive Target-Oriented Tracking,2025,ACM Transactions on Intelligent Systems and Technology,10.1145/3732785,UNKNOWN,peer-reviewed journal,METADATA_CANONICALIZED,https://doi.org/10.1145/3732785,E01;E02;E27
P002,Adaptively Bypassing Vision Transformer Blocks for Efficient Visual Tracking,2025,"Pattern Recognition 161, article 111278",10.1016/j.patcog.2024.111278,2406.08037,peer-reviewed journal,METADATA_CANONICALIZED,https://doi.org/10.1016/j.patcog.2024.111278,E01;E27
P003,AdaptTrack: Perception field adaptation with contrastive attention for robust visual tracking,2026,Knowledge-Based Systems,10.1016/j.knosys.2026.115369,UNKNOWN,peer-reviewed journal,METADATA_CANONICALIZED,https://doi.org/10.1016/j.knosys.2026.115369,E01;E27
P004,Autoregressive Queries for Adaptive Tracking with Spatio-Temporal Transformers,2024,2024 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR),10.1109/cvpr52733.2024.01826,2403.10574,peer-reviewed conference,METADATA_CANONICALIZED,https://doi.org/10.1109/cvpr52733.2024.01826,E02;E27
P005,Autoregressive Sequential Pretraining for Visual Tracking,2025,2025 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR),10.1109/cvpr52734.2025.00680,UNKNOWN,peer-reviewed conference,PRIMARY_VERIFIED_HIGH_RELEVANCE,https://doi.org/10.1109/cvpr52734.2025.00680,E01;E27
P006,AViTMP: A Tracking-Specific Transformer for Single-Branch Visual Tracking,2025,IEEE Transactions on Intelligent Vehicles,10.1109/tiv.2024.3422806,2310.19542,peer-reviewed journal,METADATA_CANONICALIZED,https://doi.org/10.1109/tiv.2024.3422806,E02;E27
P007,CasCenter: A Cascaded Center Network for Visual Tracking,2025,IEEE Transactions on Consumer Electronics,10.1109/tce.2025.3547962,UNKNOWN,peer-reviewed journal,METADATA_CANONICALIZED,https://doi.org/10.1109/tce.2025.3547962,E01;E27
P008,CATrack: Combining Convolutional and Attentional Methods for Visual Object Tracking,2023,AINIT 2023,10.1109/ainit59027.2023.10212501,UNKNOWN,peer-reviewed conference,METADATA_CANONICALIZED,https://doi.org/10.1109/ainit59027.2023.10212501,E02;E27
P009,CausTrack: Visual tracking via structural causality and deconfounded feature learning,2026,Neurocomputing,10.1016/j.neucom.2025.132340,UNKNOWN,peer-reviewed journal,METADATA_CANONICALIZED,https://doi.org/10.1016/j.neucom.2025.132340,E01;E27
P010,CiteTracker: Correlating Image and Text for Visual Tracking,2023,2023 IEEE/CVF International Conference on Computer Vision (ICCV),10.1109/iccv51070.2023.00915,2308.11322,peer-reviewed conference,METADATA_CANONICALIZED,https://doi.org/10.1109/iccv51070.2023.00915,E02;E27
