record_id,source_graph,source_file,source_sequence,bibtex_type,bibtex_key,title,normalized_title,first_author,all_authors,year,venue,doi,arxiv_id,semantic_scholar_id,metadata_url,primary_paper_url,publication_status,visual_SOT_relevance,relevance_basis,has_official_code,official_code_url,candidate_solution_families,family_evidence_terms,abstract,volume,pages,pmid
FARTrack:01:69f38c9531cbdf1d8e12bd6a934c86631615db75,FARTrack,E:\Robot_Backup\Tracker_Q1_Documents\ConnectedPapers-for-FARTrack%3A-Fast-Autoregressive-Visual-Tracking-with-High-Performance.bib,1,article,69f38c9531cbdf1d8e12bd6a934c86631615db75,FARTrack: Fast Autoregressive Visual Tracking with High Performance,fartrack fast autoregressive visual tracking with high performance,Guijie Wang,Guijie Wang and Tong Lin and Yifan Bai and Anjia Cao and Shiyi Liang and Wangbo Zhao and Xing Wei,2026,ArXiv,10.48550/arxiv.2602.03214,2602.03214,69f38c9531cbdf1d8e12bd6a934c86631615db75,https://www.semanticscholar.org/paper/69f38c9531cbdf1d8e12bd6a934c86631615db75,https://doi.org/10.48550/arxiv.2602.03214,ARXIV_PREPRINT,PRIMARY,exact fixed-anchor title (FARTrack),UNKNOWN,UNKNOWN,Model compression / distillation; Token / feature / spatial sparsification; Block / layer reduction; Lightweight backbone design; Autoregressive / sequence modeling; Temporal context / video-level memory; Motion modeling; Training / loss redesign,"Model compression / distillation: distill, model compression, teacher-student | Token / feature / spatial sparsification: spars | Block / layer reduction: shallow | Lightweight backbone design: resource-constrained | Autoregressive / sequence modeling: auto-regress, autoregress, trajectory sequence | Temporal context / video-level memory: inter-frame | Motion modeling: trajectory | Training / loss redesign: self-distillation","Inference speed and tracking performance are two critical evaluation metrics in the field of visual tracking. However, high-performance trackers often suffer from slow processing speeds, making them impractical for deployment on resource-constrained devices. To alleviate this issue, we propose FARTrack, a Fast Auto-Regressive Tracking framework. Since autoregression emphasizes the temporal nature of the trajectory sequence, it can maintain high performance while achieving efficient execution across various devices. FARTrack introduces Task-Specific Self-Distillation and Inter-frame Autoregressive Sparsification, designed from the perspectives of shallow-yet-accurate distillation and redundant-to-essential token optimization, respectively. Task-Specific Self-Distillation achieves model compression by distilling task-specific tokens layer by layer, enhancing the model's inference speed while avoiding suboptimal manual teacher-student layer pairs assignments. Meanwhile, Inter-frame Autoregressive Sparsification sequentially condenses multiple templates, avoiding additional runtime overhead while learning a temporally-global optimal sparsification strategy. FARTrack demonstrates outstanding speed and competitive performance. It delivers an AO of 70.6% on GOT-10k in real-time. Beyond, our fastest model achieves a speed of 343 FPS on the GPU and 121 FPS on the CPU.",abs/2602.03214,UNKNOWN,UNKNOWN
FARTrack:02:d5a746bc1274ac8da900a4a9c5dd28c38e868419,FARTrack,E:\Robot_Backup\Tracker_Q1_Documents\ConnectedPapers-for-FARTrack%3A-Fast-Autoregressive-Visual-Tracking-with-High-Performance.bib,2,article,d5a746bc1274ac8da900a4a9c5dd28c38e868419,Two-stream Beats One-stream: Asymmetric Siamese Network for Efficient Visual Tracking,two stream beats one stream asymmetric siamese network for efficient visual tracking,Jiawen Zhu,Jiawen Zhu and Huayi Tang and Xin Chen and Xinying Wang and Dong Wang and Huchuan Lu,2025,UNKNOWN,10.48550/arxiv.2503.00516,2503.00516,d5a746bc1274ac8da900a4a9c5dd28c38e868419,https://www.semanticscholar.org/paper/d5a746bc1274ac8da900a4a9c5dd28c38e868419,https://doi.org/10.48550/arxiv.2503.00516,ARXIV_PREPRINT,SUPPORTING,visual-tracking/tracker term in title or abstract,UNKNOWN,UNKNOWN,Lightweight backbone design; Asymmetric template-search architecture; Template computation reuse; Target-aware representation,"Lightweight backbone design: edge device, lightweight, resource-constrained | Asymmetric template-search architecture: asymmetric, siamese, two-stream | Template computation reuse: template computing only once | Target-aware representation: object perception","Efficient tracking has garnered attention for its ability to operate on resource-constrained platforms for real-world deployment beyond desktop GPUs. Current efficient trackers mainly follow precision-oriented trackers, adopting a one-stream framework with lightweight modules. However, blindly adhering to the one-stream paradigm may not be optimal, as incorporating template computation in every frame leads to redundancy, and pervasive semantic interaction between template and search region places stress on edge devices. In this work, we propose a novel asymmetric Siamese tracker named AsymTrack for efficient tracking. AsymTrack disentangles template and search streams into separate branches, with template computing only once during initialization to generate modulation signals. Building on this architecture, we devise an efficient template modulation mechanism to unidirectional inject crucial cues into the search features, and design an object perception enhancement module that integrates abstract semantics and local details to overcome the limited representation in lightweight tracker. Extensive experiments demonstrate that AsymTrack offers superior speed-precision trade-offs across different platforms compared to the current state-of-the-arts. For instance, AsymTrack-T achieves 60.8% AUC on LaSOT and 224/81/84 FPS on GPU/CPU/AGX, surpassing HiT-Tiny by 6.0% AUC with higher speeds.",UNKNOWN,UNKNOWN,UNKNOWN
FARTrack:03:f568c0a18c2e4204ba9d8f6fadab822465c15288,FARTrack,E:\Robot_Backup\Tracker_Q1_Documents\ConnectedPapers-for-FARTrack%3A-Fast-Autoregressive-Visual-Tracking-with-High-Performance.bib,3,article,f568c0a18c2e4204ba9d8f6fadab822465c15288,AdaptTrack: Perception field adaptation with contrastive attention for robust visual tracking,adapttrack perception field adaptation with contrastive attention for robust visual tracking,Yongjun Wang,Yongjun Wang and Xiaohui Hao,2026,Knowl. Based Syst.,10.1016/j.knosys.2026.115369,UNKNOWN,f568c0a18c2e4204ba9d8f6fadab822465c15288,https://www.semanticscholar.org/paper/f568c0a18c2e4204ba9d8f6fadab822465c15288,https://doi.org/10.1016/j.knosys.2026.115369,JOURNAL_LISTED_UNVERIFIED,SUPPORTING,visual-tracking/tracker term in title or abstract,UNKNOWN,UNKNOWN,Robustness / distractor handling; Training / loss redesign,Robustness / distractor handling: robust | Training / loss redesign: contrastive,UNKNOWN,337,115369,UNKNOWN
FARTrack:04:7d642fe91a30be1d27b2440d0c2eff8d3fabd7f2,FARTrack,E:\Robot_Backup\Tracker_Q1_Documents\ConnectedPapers-for-FARTrack%3A-Fast-Autoregressive-Visual-Tracking-with-High-Performance.bib,4,article,7d642fe91a30be1d27b2440d0c2eff8d3fabd7f2,Exploring Enhanced Contextual Information for Video-Level Object Tracking,exploring enhanced contextual information for video level object tracking,Ben Kang,Ben Kang and Xin Chen and Simiao Lai and Yang Liu and Yi Liu and Dong Wang,2024,UNKNOWN,10.48550/arxiv.2412.11023,2412.11023,7d642fe91a30be1d27b2440d0c2eff8d3fabd7f2,https://www.semanticscholar.org/paper/7d642fe91a30be1d27b2440d0c2eff8d3fabd7f2,https://doi.org/10.48550/arxiv.2412.11023,ARXIV_PREPRINT,SUPPORTING,visual-tracking/tracker term in title or abstract,UNKNOWN,UNKNOWN,Temporal context / video-level memory; Relation / cross-attention modeling; Robustness / distractor handling,"Temporal context / video-level memory: hidden state, historical context, video level, video-level | Relation / cross-attention modeling: cross-attention | Robustness / distractor handling: robust","Contextual information at the video level has become increasingly crucial for visual object tracking. However, existing methods typically use only a few tokens to convey this information, which can lead to information loss and limit their ability to fully capture the context. To address this issue, we propose a new video-level visual object tracking framework called MCITrack. It leverages Mamba's hidden states to continuously record and transmit extensive contextual information throughout the video stream, resulting in more robust object tracking. The core component of MCITrack is the Contextual Information Fusion module, which consists of the mamba layer and the cross-attention layer. The mamba layer stores historical contextual information, while the cross-attention layer integrates this information into the current visual features of each backbone block. This module enhances the model's ability to capture and utilize contextual information at multiple levels through deep integration with the backbone. Experiments demonstrate that MCITrack achieves competitive performance across numerous benchmarks. For instance, it gets 76.6% AUC on LaSOT and 80.0% AO on GOT-10k, establishing a new state-of-the-art performance.",UNKNOWN,UNKNOWN,UNKNOWN
FARTrack:05:20dd5912ddc3e951e866c1f019ea47a1effe2e5f,FARTrack,E:\Robot_Backup\Tracker_Q1_Documents\ConnectedPapers-for-FARTrack%3A-Fast-Autoregressive-Visual-Tracking-with-High-Performance.bib,5,article,20dd5912ddc3e951e866c1f019ea47a1effe2e5f,Fine-grained visual tracking via distribution-aware mask modeling and temporal propagation,fine grained visual tracking via distribution aware mask modeling and temporal propagation,Xin Zhou,Xin Zhou and Junjie Zhang and Hongwen Yu and Fangyu Wu and Xiaoshui Huang and Jian Zhang,2025,Knowl. Based Syst.,10.1016/j.knosys.2025.114208,UNKNOWN,20dd5912ddc3e951e866c1f019ea47a1effe2e5f,https://www.semanticscholar.org/paper/20dd5912ddc3e951e866c1f019ea47a1effe2e5f,https://doi.org/10.1016/j.knosys.2025.114208,JOURNAL_LISTED_UNVERIFIED,SUPPORTING,visual-tracking/tracker term in title or abstract,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,328,114208,UNKNOWN
FARTrack:06:8b9eda3f6100ee17185b0872d50b8762d607a740,FARTrack,E:\Robot_Backup\Tracker_Q1_Documents\ConnectedPapers-for-FARTrack%3A-Fast-Autoregressive-Visual-Tracking-with-High-Performance.bib,6,article,8b9eda3f6100ee17185b0872d50b8762d607a740,EnTeR-Track: Efficient UAV tracking via entropy-guided pruning and reversible token recovery,enter track efficient uav tracking via entropy guided pruning and reversible token recovery,Jiayao Zheng,Jiayao Zheng and Yongqiang Bai,2026,Neurocomputing,10.1016/j.neucom.2026.134151,UNKNOWN,8b9eda3f6100ee17185b0872d50b8762d607a740,https://www.semanticscholar.org/paper/8b9eda3f6100ee17185b0872d50b8762d607a740,https://doi.org/10.1016/j.neucom.2026.134151,JOURNAL_LISTED_UNVERIFIED,SUPPORTING,visual-tracking/tracker term in title or abstract,UNKNOWN,UNKNOWN,Pruning,Pruning: prun,UNKNOWN,696,134151,UNKNOWN
FARTrack:07:868e277a1c22d2d3daacc4cbeab5d8f659cde09b,FARTrack,E:\Robot_Backup\Tracker_Q1_Documents\ConnectedPapers-for-FARTrack%3A-Fast-Autoregressive-Visual-Tracking-with-High-Performance.bib,7,article,868e277a1c22d2d3daacc4cbeab5d8f659cde09b,Unifying Motion and Appearance Cues for Visual Tracking via Shared Queries,unifying motion and appearance cues for visual tracking via shared queries,Chaocan Xue,Chaocan Xue and Bineng Zhong and Qihua Liang and Hai-ying Xia and Shuxiang Song,2025,IEEE Transactions on Circuits and Systems for Video Technology,10.1109/tcsvt.2024.3486347,UNKNOWN,868e277a1c22d2d3daacc4cbeab5d8f659cde09b,https://www.semanticscholar.org/paper/868e277a1c22d2d3daacc4cbeab5d8f659cde09b,https://doi.org/10.1109/tcsvt.2024.3486347,JOURNAL_LISTED_UNVERIFIED,SUPPORTING,visual-tracking/tracker term in title or abstract,UNKNOWN,UNKNOWN,Autoregressive / sequence modeling; Motion modeling; Temporal timestep optimization; Robustness / distractor handling,"Autoregressive / sequence modeling: autoregress | Motion modeling: motion, spatio-temporal cue | Temporal timestep optimization: time step | Robustness / distractor handling: robust","The rich motion and appearance cues between consecutive frames are crucial for robust visual tracking. However, most existing tracking methods are still limited in designing different components to separately employ corresponding cues and even ignore one of them. This makes them difficult to maintain effective interaction between different cues, thus hindering the models from fostering a comprehensive understanding of the target objects. To address these issues, we propose a unified spatio-temporal cues learning framework (named USCLTrack) that comprehensively mines the variation patterns of targets between consecutive frames in complex video streams. Specifically, USCLTrack firstly aggregates motion and appearance cues into shared queries to provide the bridge of interaction between both cues. Then, it directly generates object locations on the condition of these shared queries in an autoregressive manner, unifying different cues to guide future inferences. To effectively learn multiple spatio-temporal cues aggregated in the shared queries, we develop a spatio-temporal attention mechanism. This mechanism integrates motion cues with appearance cues according to the time steps for ensuring temporal consistency. Moreover, it concurrently captures motion trends and appearance changes to facilitate the understanding of the target objects. Extensive experiments on eight popular tracking benchmarks validate the effectiveness of the proposed USCLTrack.",35,1987-1998,UNKNOWN
FARTrack:08:be1728a983128f17bdd2d7f7a33a4ba0b0614546,FARTrack,E:\Robot_Backup\Tracker_Q1_Documents\ConnectedPapers-for-FARTrack%3A-Fast-Autoregressive-Visual-Tracking-with-High-Performance.bib,8,article,be1728a983128f17bdd2d7f7a33a4ba0b0614546,MCTrack: Multi-cue spatio-temporal object tracking,mctrack multi cue spatio temporal object tracking,Jianbo Song,Jianbo Song and Hong Zhang and Hanyang Liu and Yachun Feng and Yang Han and Yifan Yang,2025,Expert Syst. Appl.,10.1016/j.eswa.2025.129984,UNKNOWN,be1728a983128f17bdd2d7f7a33a4ba0b0614546,https://www.semanticscholar.org/paper/be1728a983128f17bdd2d7f7a33a4ba0b0614546,https://doi.org/10.1016/j.eswa.2025.129984,JOURNAL_LISTED_UNVERIFIED,SUPPORTING,visual-tracking/tracker term in title or abstract,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,299,129984,UNKNOWN
FARTrack:09:f05a36f8cc86f669bad8d49772c40a07e790d4d6,FARTrack,E:\Robot_Backup\Tracker_Q1_Documents\ConnectedPapers-for-FARTrack%3A-Fast-Autoregressive-Visual-Tracking-with-High-Performance.bib,9,article,f05a36f8cc86f669bad8d49772c40a07e790d4d6,Joint position and appearance feature modeling for accurate visual tracking,joint position and appearance feature modeling for accurate visual tracking,X. Gong,X. Gong and Yi Zhang and Guanyu Xing and Yanli Liu,2025,Appl. Soft Comput.,10.1016/j.asoc.2025.114460,UNKNOWN,f05a36f8cc86f669bad8d49772c40a07e790d4d6,https://www.semanticscholar.org/paper/f05a36f8cc86f669bad8d49772c40a07e790d4d6,https://doi.org/10.1016/j.asoc.2025.114460,JOURNAL_LISTED_UNVERIFIED,SUPPORTING,visual-tracking/tracker term in title or abstract,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,189,114460,UNKNOWN
FARTrack:10:e3d128c4a43fe2d5a9c8e8657cd5926c53197ba8,FARTrack,E:\Robot_Backup\Tracker_Q1_Documents\ConnectedPapers-for-FARTrack%3A-Fast-Autoregressive-Visual-Tracking-with-High-Performance.bib,10,article,e3d128c4a43fe2d5a9c8e8657cd5926c53197ba8,General Compression Framework for Efficient Transformer Object Tracking,general compression framework for efficient transformer object tracking,Lingyi Hong,Lingyi Hong and Jinglun Li and Xinyu Zhou and Shilin Yan and Pinxue Guo and Kaixun Jiang and Zhaoyu Chen and Shuyong Gao and Wei Zhang and Hong Lu and Wenqiang Zhang,2024,2025 IEEE/CVF International Conference on Computer Vision (ICCV),10.1109/iccv51701.2025.01247,2409.17564,e3d128c4a43fe2d5a9c8e8657cd5926c53197ba8,https://www.semanticscholar.org/paper/e3d128c4a43fe2d5a9c8e8657cd5926c53197ba8,https://doi.org/10.1109/iccv51701.2025.01247,CONFERENCE_LISTED_UNVERIFIED,SUPPORTING,visual-tracking/tracker term in title or abstract,UNKNOWN,UNKNOWN,Model compression / distillation; Lightweight backbone design; Training / loss redesign,"Model compression / distillation: distill, model compression | Lightweight backbone design: lightweight | Training / loss redesign: knowledge distillation","Previous works have attempted to improve tracking efficiency through lightweight architecture design or knowledge distillation from teacher models to compact student trackers. However, these solutions often sacrifice accuracy for speed to a great extent, and also have the problems of complex training process and structural limitations. Thus, we propose a general model compression framework for efficient transformer object tracking, named CompressTracker, to reduce model size while preserving tracking accuracy. Our approach features a novel stage division strategy that segments the transformer layers of the teacher model into distinct stages to break the limitation of model structure. Additionally, we also design a unique replacement training technique that randomly substitutes specific stages in the student model with those from the teacher model, as opposed to training the student model in isolation. Replacement training enhances the student model's ability to replicate the teacher model's behavior and simplifies the training process. To further forcing student model to emulate teacher model, we incorporate prediction guidance and stage-wise feature mimicking to provide additional supervision during the teacher model's compression process. CompressTracker is structurally agnostic, making it compatible with any transformer architecture. We conduct a series of experiment to verify the effectiveness and generalizability of our CompressTracker. Our CompressTracker-SUTrack, compressed from SUTrack, retains about $\mathbf9 9$ % performance on LaSOT ($\mathbf7 2. 2$ % AUC) while achieves $2.42 \times$ speed up. Code is available at here.",UNKNOWN,13427-13437,UNKNOWN
