sequence,source_copy_identifier,absolute_sequence_root,source_provenance,frame_count,ground_truth_row_count,official_frame_range_complete,raw_frame_files_identical_to_selected,decoded_bgr_identical_to_selected,decoded_rgb_identical_to_selected,ground_truth_raw_identical_to_selected,ground_truth_parsed_identical_to_selected,selected_source_copy,used_by_adapter,used_by_official_runner,selection_basis,preexisting_duplicate_copy_count,staged_derivative_copy_count,canonical_source_status
Deer,SRC1_PREVIOUS_ADAPTER,E:\Robot_Backup\TrackingResearch-master\OtherTracker\verified\TRACA-master\sequence\Deer,preexisting copy used by the exact previous adapter,71,71,True,True,True,True,True,True,True,True,False,"continuity with preserved previous adapter; complete official frame range; all discovered local copies and staged derivative are raw-file, decoded-pixel, and parsed-GT identical; no prediction value used",4,1,LOCAL_IDENTITY_ESTABLISHED; CANONICAL_OTB_RELEASE_PROVENANCE_UNRESOLVED
Deer,SRC2_ARCHIVED_DUPLICATE,E:\Robot_Backup\Crash_NotUse_Yet\TrackingResearch\OtherTracker\verified\TRACA-master\sequence\Deer,second preexisting workspace copy found by path search,71,71,True,True,True,True,False,True,False,False,False,"continuity with preserved previous adapter; complete official frame range; all discovered local copies and staged derivative are raw-file, decoded-pixel, and parsed-GT identical; no prediction value used",4,1,LOCAL_IDENTITY_ESTABLISHED; CANONICAL_OTB_RELEASE_PROVENANCE_UNRESOLVED
Deer,SRC3_SCT4_COPY,E:\Robot_Backup\TrackingResearch-master\OtherTracker\verified\SCT4\SCT4\Deer,third preexisting workspace copy found in SCT4; GT filename is groundtruth.txt,71,71,True,True,True,True,True,True,False,False,False,"continuity with preserved previous adapter; complete official frame range; all discovered local copies and staged derivative are raw-file, decoded-pixel, and parsed-GT identical; no prediction value used",4,1,LOCAL_IDENTITY_ESTABLISHED; CANONICAL_OTB_RELEASE_PROVENANCE_UNRESOLVED
Deer,SRC4_SCT4_ARCHIVED_DUPLICATE,E:\Robot_Backup\Crash_NotUse_Yet\TrackingResearch\OtherTracker\verified\SCT4\SCT4\Deer,fourth preexisting workspace copy found in archived SCT4; GT filename is groundtruth.txt,71,71,True,True,True,True,False,True,False,False,False,"continuity with preserved previous adapter; complete official frame range; all discovered local copies and staged derivative are raw-file, decoded-pixel, and parsed-GT identical; no prediction value used",4,1,LOCAL_IDENTITY_ESTABLISHED; CANONICAL_OTB_RELEASE_PROVENANCE_UNRESOLVED
Deer,STAGED_MINIROOT,E:\Robot_Backup\tmp\stage4A_R_otb3\Deer,external derivative copied from SRC1 for the official runner,71,71,True,True,True,True,True,True,False,False,True,"continuity with preserved previous adapter; complete official frame range; all discovered local copies and staged derivative are raw-file, decoded-pixel, and parsed-GT identical; no prediction value used",4,1,LOCAL_IDENTITY_ESTABLISHED; CANONICAL_OTB_RELEASE_PROVENANCE_UNRESOLVED
Crossing,SRC1_PREVIOUS_ADAPTER,E:\Robot_Backup\TrackingResearch-master\OtherTracker\verified\ECO-master\sequences\Crossing,preexisting copy used by the exact previous adapter,120,120,True,True,True,True,True,True,True,True,False,"continuity with preserved previous adapter; complete official frame range; all discovered local copies and staged derivative are raw-file, decoded-pixel, and parsed-GT identical; no prediction value used",2,1,LOCAL_IDENTITY_ESTABLISHED; CANONICAL_OTB_RELEASE_PROVENANCE_UNRESOLVED
Crossing,SRC2_ARCHIVED_DUPLICATE,E:\Robot_Backup\Crash_NotUse_Yet\TrackingResearch\OtherTracker\verified\ECO-master\sequences\Crossing,second preexisting workspace copy found by path search,120,120,True,True,True,True,False,True,False,False,False,"continuity with preserved previous adapter; complete official frame range; all discovered local copies and staged derivative are raw-file, decoded-pixel, and parsed-GT identical; no prediction value used",2,1,LOCAL_IDENTITY_ESTABLISHED; CANONICAL_OTB_RELEASE_PROVENANCE_UNRESOLVED
Crossing,STAGED_MINIROOT,E:\Robot_Backup\tmp\stage4A_R_otb3\Crossing,external derivative copied from SRC1 for the official runner,120,120,True,True,True,True,True,True,False,False,True,"continuity with preserved previous adapter; complete official frame range; all discovered local copies and staged derivative are raw-file, decoded-pixel, and parsed-GT identical; no prediction value used",2,1,LOCAL_IDENTITY_ESTABLISHED; CANONICAL_OTB_RELEASE_PROVENANCE_UNRESOLVED
Couple,SRC1_PREVIOUS_ADAPTER,E:\Robot_Backup\TrackingResearch-master\OtherTracker\verified\SRDCF\SRDCF\sequences\Couple,preexisting copy used by the exact previous adapter,140,140,True,True,True,True,True,True,True,True,False,"continuity with preserved previous adapter; complete official frame range; all discovered local copies and staged derivative are raw-file, decoded-pixel, and parsed-GT identical; no prediction value used",2,1,LOCAL_IDENTITY_ESTABLISHED; CANONICAL_OTB_RELEASE_PROVENANCE_UNRESOLVED
Couple,SRC2_ARCHIVED_DUPLICATE,E:\Robot_Backup\Crash_NotUse_Yet\TrackingResearch\OtherTracker\verified\SRDCF\SRDCF\sequences\Couple,second preexisting workspace copy found by path search,140,140,True,True,True,True,False,True,False,False,False,"continuity with preserved previous adapter; complete official frame range; all discovered local copies and staged derivative are raw-file, decoded-pixel, and parsed-GT identical; no prediction value used",2,1,LOCAL_IDENTITY_ESTABLISHED; CANONICAL_OTB_RELEASE_PROVENANCE_UNRESOLVED
Couple,STAGED_MINIROOT,E:\Robot_Backup\tmp\stage4A_R_otb3\Couple,external derivative copied from SRC1 for the official runner,140,140,True,True,True,True,True,True,False,False,True,"continuity with preserved previous adapter; complete official frame range; all discovered local copies and staged derivative are raw-file, decoded-pixel, and parsed-GT identical; no prediction value used",2,1,LOCAL_IDENTITY_ESTABLISHED; CANONICAL_OTB_RELEASE_PROVENANCE_UNRESOLVED
