control_id,linked_proposal_id,preferred_or_alternate,group,dataset,sequence,interval_start,interval_end,interval_length,same_sequence,object_class,broad_superclass,visual_subtype,no_similar_distractor_evidence,matching_basis,median_target_area_ratio,min_target_area_ratio,max_target_area_ratio,median_center_displacement_px,p90_center_displacement_px,p90_motion_normalized,end_to_start_area_ratio,max_to_min_area_ratio,median_abs_log_area_step,occlusion_state,fast_motion_flag,low_resolution_flag,official_attributes,control_sequence_reuse_count,exception_state,contact_sheet_path,manager_review_status,notes
R2-C01,R1-P01,PREFERRED,DISCOVERY,OTB100,David3,195,233,39,false,person,PERSON,real full-body adult pedestrian,EVERY_FRAME_REVIEWED 195-233; only the annotated adult pedestrian is present; co-occurring parked/moving cars are a different class.,"Same class; full-body adult target; length, area, GT motion and scale dynamics all pass.",0.013311,0.013311,0.015137,1.457,5.000,0.074784,0.879,1.137,0.0000,NONE,false,false,OCC|DEF|OPR|BC,1,MATCH_PASS,screening/codex/artifacts/stage4A_S1_R2/pair_sheets/R2_PAIR_P01.jpg,PENDING_R2_REVIEW,Human5 and Woman were checked as metric leads; David3 gave the cleaner full interval and stronger area match.
R2-C02,R1-P02,PREFERRED,DISCOVERY,OTB100,Human8,108,126,19,false,person,PERSON,real full-body upright person,"EVERY_FRAME_REVIEWED 108-126; only the annotated person is resolvable; rocks, shadows and architecture are different objects.","Same class and full-body subtype; equal length; area, GT motion and scale dynamics all pass.",0.010846,0.010182,0.011289,1.000,2.000,0.069002,0.902,1.109,0.0000,NONE,false,false,IV|SV|DEF,1,MATCH_PASS,screening/codex/artifacts/stage4A_S1_R2/pair_sheets/R2_PAIR_P02.jpg,PENDING_R2_REVIEW,"The scene differs from sprinting, but the target is a clean full-body real person with matched GT dynamics."
R2-C03,R1-P03,PREFERRED,HOLDOUT,OTB100,Crowds,161,165,5,true,person,PERSON,real overhead street pedestrian,EVERY_FRAME_REVIEWED 161-165; the annotated pedestrian is fully visible and no comparable/search-relevant pedestrian enters the nominal target context. Other people remain far across the full frame at non-comparable scale.,"Same sequence, same target/scene identity, equal length and clean nominal target context.",0.003896,0.003896,0.003896,3.162,4.079,0.121780,1.000,1.000,0.0000,NONE,false,false,IV|DEF|BC,1,MATCH_PASS,screening/codex/artifacts/stage4A_S1_R2/pair_sheets/R2_PAIR_P03.jpg,PENDING_R2_REVIEW,Preferred by same-sequence search order. Human6 110-114 and Human5 234-238 were rejected because a second comparably resolved pedestrian remained near the target.
R2-C04,R1-P04,PREFERRED,DISCOVERY,OTB100,CarScale,143,163,21,false,car,VEHICLE,real passenger car in road view,EVERY_FRAME_REVIEWED 143-163; the annotated passenger car is the only comparable vehicle throughout. Foreground branches partly overlap it but never fully occlude it.,Same VEHICLE/passenger-car subtype; equal length; area and scale dynamics pass; normalized p90 motion fails.,0.024816,0.020255,0.032227,2.525,3.262,0.050189,1.362,1.591,0.0493,PARTIAL,false,false,SV|OCC|FM|IPR|OPR,1,EXCEPTION_PENDING_MANAGER,screening/codex/artifacts/stage4A_S1_R2/pair_sheets/R2_PAIR_P04.jpg,PENDING_R2_REVIEW,"EXCEPTION_PENDING_MANAGER: normalized p90 motion factor exceeds 2. BlurCar3 216-236 passes every quantitative target and exact sedan subtype but a large dark SUV plus another car persists throughout, so its no-distractor gate fails. BlurCar1 773-793 likewise contains a large adjacent dark truck in every frame."
R2-C05,R1-P05,PREFERRED,HOLDOUT,OTB100,Suv,726,750,25,false,car,VEHICLE,real road SUV in rear/side view,EVERY_FRAME_REVIEWED 726-750; the annotated road SUV/pickup is the only vehicle throughout the complete interval and remains free of full occlusion.,"Same car class and SUV subtype; equal length; area, GT motion and scale dynamics all pass.",0.047396,0.047396,0.047917,2.618,8.175,0.134762,0.989,1.011,0.0000,NONE,false,false,OCC|IPR|OV,1,MATCH_PASS,screening/codex/artifacts/stage4A_S1_R2/pair_sheets/R2_PAIR_P05.jpg,PENDING_R2_REVIEW,Same-sequence BlurCar4 210-230 was rejected because adjacent cars persist. Suv 651-675 is a quantitative alternate but has partial pole/tree occlusion.
R2-C07,R1-P07,PREFERRED,DISCOVERY,OTB100,Panda,426,430,5,false,mammal,ANIMAL,real live terrestrial panda,EVERY_FRAME_REVIEWED 426-430; the annotated live panda is the only panda throughout. A much larger elephant is present but is a visibly dissimilar animal subtype.,"Real animate ANIMAL control; equal length; area, GT motion and scale dynamics all pass.",0.005145,0.005145,0.005145,1.207,1.414,0.073127,1.000,1.000,0.0000,NONE,false,false,SV|OCC|DEF|IPR|OPR|OV|LR,1,EXCEPTION_PENDING_MANAGER,screening/codex/artifacts/stage4A_S1_R2/pair_sheets/R2_PAIR_P07.jpg,PENDING_R2_REVIEW,"EXCEPTION_PENDING_MANAGER: bird-to-panda visual subtype failed. Every Bird1 frame was reviewed: visible-target five-frame windows retain other birds, while low-distractor 140-144 leaves the target effectively unresolved. Bird2 22-26 fails area and contains animated bird distractors; plush Dog1 remains invalid."
R2-C09,R1-P09,PREFERRED,DISCOVERY,OTB100,Liquor,20,40,21,true,other,OBJECT_OTHER,same upright miniature liquor bottle,EVERY_FRAME_REVIEWED 20-40; only the annotated bottle is present throughout the full interval; no second bottle enters the frame.,"Source-only revalidation of R1-C09; same target, scene, class and scale before distractors appear.",0.049902,0.049902,0.049902,0.000,0.000,0.000000,1.000,1.000,0.0000,NONE,false,false,IV|SV|OCC|MB|FM|OPR|OV|BC,1,MATCH_PASS,screening/codex/artifacts/stage4A_S1_R2/pair_sheets/R2_PAIR_P09.jpg,PENDING_R2_REVIEW,R1-C09 retained as the preferred source interval under an R2 control ID.
R2-C10,R1-P10,PREFERRED,DISCOVERY,OTB100,Biker,41,65,25,false,person head,FACE_HEAD,novelty bird/chicken mask or rider headgear,"EVERY_FRAME_REVIEWED 41-65; the masked cyclist head is the only head/person target; no second cyclist, helmet, mask or comparable face occurs.","Same broad FACE_HEAD superclass; equal length; area, GT motion and scale dynamics all pass.",0.006042,0.004375,0.006042,1.608,5.777,0.154851,1.381,1.381,0.0000,NONE,false,false,SV|OCC|MB|FM|OPR|OV|LR,1,EXCEPTION_PENDING_MANAGER,screening/codex/artifacts/stage4A_S1_R2/pair_sheets/R2_PAIR_P10.jpg,PENDING_R2_REVIEW,"EXCEPTION_PENDING_MANAGER: football helmet/equipment subtype failed because Biker shows novelty mask/headgear, not a football helmet. Football has no clean same-sequence interval; Ironman contains additional armored heads; Freeman1 24-48 is quantitatively viable but is a bare-face subtype."
R2-C11,R1-P11,PREFERRED,HOLDOUT,OTB100,Surfer,304,328,25,false,person head,FACE_HEAD,real bare human head in upper-body view,"EVERY_FRAME_REVIEWED 304-328; the annotated surfer is the only person/head; sea, board and spray are different objects and no second face appears.","Same broad FACE_HEAD class; equal length; area, GT motion and scale dynamics all pass.",0.009375,0.007535,0.011059,3.182,8.716,0.213803,1.029,1.468,0.0835,NONE,false,false,SV|FM|IPR|OPR|LR,1,EXCEPTION_PENDING_MANAGER,screening/codex/artifacts/stage4A_S1_R2/pair_sheets/R2_PAIR_P11.jpg,PENDING_R2_REVIEW,EXCEPTION_PENDING_MANAGER: helmet/equipment subtype failed. Football1 has no clean same-sequence interval; Ironman 16-40 and 66-90 contain a second armored/helmeted figure; Biker is assigned to discovery and cannot cross the split; no better clean source-only helmet control was found.
R2-C12,R1-P12,PREFERRED,HOLDOUT,OTB100,Man,106,116,11,false,face,FACE_HEAD,real unobstructed human face/head,"EVERY_FRAME_REVIEWED 106-116; one real human face/head is visible; shelves, door and room objects are different classes.","Real face/head subtype; equal length; area, GT motion and scale dynamics all pass.",0.021800,0.021800,0.021800,1.500,3.210,0.100803,1.000,1.000,0.0000,NONE,false,false,IV,1,MATCH_PASS,screening/codex/artifacts/stage4A_S1_R2/pair_sheets/R2_PAIR_P12.jpg,PENDING_R2_REVIEW,Partial Soccer clutter versus clean Man is disclosed; Man shares IV. The raw David 180-190 lead was rejected because canonical evaluator mapping starts David at frame 300.
