paper_id,title,first_author,year,venue,doi,arxiv_id,semantic_scholar_id,source_graph,publication_status,visual_SOT_relevance,has_official_code,official_code_url,primary_paper_url,solution_families,dedup_basis,raw_record_ids,metadata_audit_tier,metadata_source_url,evidence_source,notes
P001,Adaptive Target-Oriented Tracking,Sixian Chan,2025,ACM Transactions on Intelligent Systems and Technology,10.1145/3732785,UNKNOWN,a52391650c1359bc3b605d5821c35feced1f6ca7,BOTH,peer-reviewed journal,SUPPORTING,UNKNOWN,UNKNOWN,https://doi.org/10.1145/3732785,Relation / cross-attention modeling,doi; semantic_scholar_id; normalized_title,FARTrack:12:a52391650c1359bc3b605d5821c35feced1f6ca7; SpikeTrack:15:a52391650c1359bc3b605d5821c35feced1f6ca7,METADATA_CANONICALIZED,https://doi.org/10.1145/3732785,E01;E02;E27,Canonical metadata audit tier: METADATA_CANONICALIZED.
P002,Adaptively Bypassing Vision Transformer Blocks for Efficient Visual Tracking,Xiangyang Yang,2025,"Pattern Recognition 161, article 111278",10.1016/j.patcog.2024.111278,2406.08037,ecd9598308161557d6ac35b3e4d32770489e811d,FARTrack,peer-reviewed journal,SUPPORTING,YES,https://github.com/xyyang317/ABTrack,https://doi.org/10.1016/j.patcog.2024.111278,Pruning,UNIQUE,FARTrack:17:ecd9598308161557d6ac35b3e4d32770489e811d,METADATA_CANONICALIZED,https://doi.org/10.1016/j.patcog.2024.111278,E01;E27,Canonical metadata audit tier: METADATA_CANONICALIZED.
P003,AdaptTrack: Perception field adaptation with contrastive attention for robust visual tracking,Yongjun Wang,2026,Knowledge-Based Systems,10.1016/j.knosys.2026.115369,UNKNOWN,f568c0a18c2e4204ba9d8f6fadab822465c15288,FARTrack,peer-reviewed journal,SUPPORTING,UNKNOWN,UNKNOWN,https://doi.org/10.1016/j.knosys.2026.115369,Robustness / distractor handling; Training / loss redesign,UNIQUE,FARTrack:03:f568c0a18c2e4204ba9d8f6fadab822465c15288,METADATA_CANONICALIZED,https://doi.org/10.1016/j.knosys.2026.115369,E01;E27,Canonical metadata audit tier: METADATA_CANONICALIZED.
P004,Autoregressive Queries for Adaptive Tracking with Spatio-Temporal Transformers,Jinxia Xie,2024,2024 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR),10.1109/cvpr52733.2024.01826,2403.10574,7630becb87f57c985a74da709612bd624f8a3922,SpikeTrack,peer-reviewed conference,SUPPORTING,YES,https://github.com/orgs/GXNU-ZhongLab,https://doi.org/10.1109/cvpr52733.2024.01826,Autoregressive / sequence modeling; Robustness / distractor handling,UNIQUE,SpikeTrack:20:7630becb87f57c985a74da709612bd624f8a3922,METADATA_CANONICALIZED,https://doi.org/10.1109/cvpr52733.2024.01826,E02;E27,Canonical metadata audit tier: METADATA_CANONICALIZED.
P005,Autoregressive Sequential Pretraining for Visual Tracking,Shiyi Liang,2025,2025 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR),10.1109/cvpr52734.2025.00680,UNKNOWN,2a7fd569e1c203f3ad25fcd1d8412b2efb3bbe6e,FARTrack,peer-reviewed conference,SUPPORTING,NO,UNKNOWN,https://doi.org/10.1109/cvpr52734.2025.00680,Autoregressive / sequence modeling; Dynamic / conditional computation; Motion modeling,UNIQUE,FARTrack:36:2a7fd569e1c203f3ad25fcd1d8412b2efb3bbe6e,PRIMARY_VERIFIED_HIGH_RELEVANCE,https://doi.org/10.1109/cvpr52734.2025.00680,E01;E27,Canonical metadata audit tier: PRIMARY_VERIFIED_HIGH_RELEVANCE. The official project page states that code will be released; no implementation was located.
P006,AViTMP: A Tracking-Specific Transformer for Single-Branch Visual Tracking,Chuanming Tang,2025,IEEE Transactions on Intelligent Vehicles,10.1109/tiv.2024.3422806,2310.19542,b31fe688ec863bb17361d55d864495104ee928f5,SpikeTrack,peer-reviewed journal,SUPPORTING,UNKNOWN,UNKNOWN,https://doi.org/10.1109/tiv.2024.3422806,Robustness / distractor handling; Target-aware representation,UNIQUE,SpikeTrack:07:b31fe688ec863bb17361d55d864495104ee928f5,METADATA_CANONICALIZED,https://doi.org/10.1109/tiv.2024.3422806,E02;E27,Canonical metadata audit tier: METADATA_CANONICALIZED.
P007,CasCenter: A Cascaded Center Network for Visual Tracking,Qun Li,2025,IEEE Transactions on Consumer Electronics,10.1109/tce.2025.3547962,UNKNOWN,b3188ac5b80cf03227bdbcdcc437889e8f1e7816,FARTrack,peer-reviewed journal,SUPPORTING,UNKNOWN,UNKNOWN,https://doi.org/10.1109/tce.2025.3547962,Low-resolution / adaptive-resolution processing; Relation / cross-attention modeling; Robustness / distractor handling,UNIQUE,FARTrack:39:b3188ac5b80cf03227bdbcdcc437889e8f1e7816,METADATA_CANONICALIZED,https://doi.org/10.1109/tce.2025.3547962,E01;E27,Canonical metadata audit tier: METADATA_CANONICALIZED.
P008,CATrack: Combining Convolutional and Attentional Methods for Visual Object Tracking,Qingyang Lu,2023,AINIT 2023,10.1109/ainit59027.2023.10212501,UNKNOWN,31489a96756f0030d727e8d3c60b7e79bf186ca4,SpikeTrack,peer-reviewed conference,SUPPORTING,UNKNOWN,UNKNOWN,https://doi.org/10.1109/ainit59027.2023.10212501,UNKNOWN,UNIQUE,SpikeTrack:06:31489a96756f0030d727e8d3c60b7e79bf186ca4,METADATA_CANONICALIZED,https://doi.org/10.1109/ainit59027.2023.10212501,E02;E27,Canonical metadata audit tier: METADATA_CANONICALIZED.
P009,CausTrack: Visual tracking via structural causality and deconfounded feature learning,Yongjun Wang,2026,Neurocomputing,10.1016/j.neucom.2025.132340,UNKNOWN,621ce5f861b47f368da67982fbb8e2211afc1d3d,FARTrack,peer-reviewed journal,SUPPORTING,UNKNOWN,UNKNOWN,https://doi.org/10.1016/j.neucom.2025.132340,UNKNOWN,UNIQUE,FARTrack:26:621ce5f861b47f368da67982fbb8e2211afc1d3d,METADATA_CANONICALIZED,https://doi.org/10.1016/j.neucom.2025.132340,E01;E27,Canonical metadata audit tier: METADATA_CANONICALIZED.
P010,CiteTracker: Correlating Image and Text for Visual Tracking,Xin Li,2023,2023 IEEE/CVF International Conference on Computer Vision (ICCV),10.1109/iccv51070.2023.00915,2308.11322,fcf804ee3f5ce603290e919c91010be5c77b1c0d,SpikeTrack,peer-reviewed conference,SUPPORTING,YES,https://github.com/NorahGreen/CiteTracker,https://doi.org/10.1109/iccv51070.2023.00915,Dynamic / conditional computation,UNIQUE,SpikeTrack:11:fcf804ee3f5ce603290e919c91010be5c77b1c0d,METADATA_CANONICALIZED,https://doi.org/10.1109/iccv51070.2023.00915,E02;E27,Canonical metadata audit tier: METADATA_CANONICALIZED.
