candidate_id,title,year,venue,publication_status,pool,paper_url,official_repo,checkpoint_status,evaluator_status,task_family,modality,hg1,hg2,hg3,hg4,hg5,hg6,reason_for_pool,evidence_notes
"CX001","MUTrack: A Memory-Aware Unified Representation Framework for Visual Tracking","2026","AAAI","PUBLISHED","A","https://ojs.aaai.org/index.php/AAAI/article/view/38052","","PENDING","PENDING","generic_rgb_sot","RGB","PASS","PASS","PENDING","PENDING","PENDING","PENDING","2026 officially published generic RGB bounding-box SOT; short-term and long-term memory mechanism","Official AAAI article and DOI 10.1609/aaai.v40i13.38052 verified; no official source-checkpoint-evaluator bundle was established in this pass."
"CX002","STDTrack: Exploring Reliable Spatiotemporal Dependencies for Visual Tracking","2026","AAAI","published","A","https://ojs.aaai.org/index.php/AAAI/article/view/37853","","PENDING","PENDING","generic_bbox_sot","RGB","PASS","PASS","PENDING","PENDING","PENDING","PENDING","Generic RGB visual tracking","Official publication verified; artifact bundle not traced"
"CX003","Adaptive Capacity Autoregressive Visual Tracking / ARTrack-AC","2026","CVPR","published","A","https://openaccess.thecvf.com/content/CVPR2026/html/Lin_Adaptive_Capacity_Autoregressive_Visual_Tracking_CVPR_2026_paper.html","https://github.com/MIV-XJTU/ARTrackAC","MISSING","MISSING","generic_bbox_sot","RGB","PASS","PASS","FAIL","PENDING","PENDING","PENDING","Generic RGB bbox SOT","Paper-linked repository returned 404 at audit"
"CX004","An Efficient Token Compression Framework for Visual Object Tracking / ETCTrack","2026","CVPR","published","A","https://openaccess.thecvf.com/content/CVPR2026/html/Wu_An_Efficient_Token_Compression_Framework_for_Visual_Object_Tracking_CVPR_2026_paper.html","https://github.com/PJD-WJ/ETCTrack","MISSING","MISSING","generic_bbox_sot","RGB","PASS","PASS","FAIL","PENDING","PENDING","PENDING","Generic RGB bbox SOT","Official repository contained README and license only"
"CX005","Beyond Explicit Language: Plug-and-Play Visual-to-Linguistic Modeling Toward General Object Tracking","2026","CVPR","published","A","https://openaccess.thecvf.com/content/CVPR2026/papers/Lan_Beyond_Explicit_Language_Plug-and-Play_Visual-to-Linguistic_Modeling_Toward_General_Object_Tracking_CVPR_2026_paper.pdf","","PENDING","PENDING","generic_bbox_sot","RGB","PASS","PASS","PENDING","PENDING","PENDING","PENDING","No explicit language input required","Paper promised code; no complete official artifact bundle traced"
"CX006","Drift-Resilient Temporal Priors for Visual Tracking / DTPTrack","2026","CVPR","published","A","https://openaccess.thecvf.com/content/CVPR2026/html/Huang_Drift-Resilient_Temporal_Priors_for_Visual_Tracking_CVPR_2026_paper.html","https://github.com/NorahGreen/DTPTrack","MISSING","AVAILABLE","generic_bbox_sot","RGB","PASS","PASS","FAIL","PENDING","PENDING","PENDING","Generic RGB bbox SOT","Code and evaluation found; released trained tracker checkpoint not found"
"CX007","SpikeTrack: A Spike-driven Framework for Efficient Visual Tracking","2026","CVPR","published","A","https://openaccess.thecvf.com/content/CVPR2026/html/Zhang_SpikeTrack_A_Spike-driven_Framework_for_Efficient_Visual_Tracking_CVPR_2026_paper.html","https://github.com/faicaiwawa/SpikeTrack","AVAILABLE","AVAILABLE","generic_bbox_sot","RGB","PASS","PASS","PASS","PENDING","PENDING","PENDING","Generic RGB bbox SOT using an SNN architecture","Official repo exposes code released models and benchmark commands"
"CX008","TGTrack: Temporal Generative Learning for Unified Single Object Tracking","2026","CVPR","published","A","https://openaccess.thecvf.com/content/CVPR2026/html/Geng_TGTrack_Temporal_Generative_Learning_for_Unified_Single_Object_Tracking_CVPR_2026_paper.html","https://github.com/wtg1/TGTrack","MISSING","MISSING","generic_bbox_sot","RGB_optional_multimodal","PASS","PASS","FAIL","PENDING","PENDING","PENDING","Has a standard RGB SOT mode","Official repository was a README-only placeholder at audit"
"CX009","UETrack: A Unified and Efficient Framework for Single Object Tracking","2026","CVPR","published","A","https://openaccess.thecvf.com/content/CVPR2026/html/Kang_UETrack_A_Unified_and_Efficient_Framework_for_Single_Object_Tracking_CVPR_2026_paper.html","https://github.com/kangben258/UETrack","AVAILABLE","AVAILABLE","generic_bbox_sot","RGB_optional_multimodal","PASS","PASS","PASS","PENDING","PENDING","PENDING","Has a standard RGB SOT mode","Official repo exposes code checkpoints raw results and evaluators"
"CX010","UTPTrack: Towards Simple and Unified Token Pruning for Visual Tracking","2026","CVPR","published","A","https://openaccess.thecvf.com/content/CVPR2026/html/Wu_UTPTrack_Towards_Simple_and_Unified_Token_Pruning_for_Visual_Tracking_CVPR_2026_paper.html","https://github.com/EIT-NLP/UTPTrack","AVAILABLE","AVAILABLE","generic_bbox_sot","RGB_optional_multimodal","PASS","PASS","PASS","PENDING","PENDING","PENDING","Has a standard RGB SOT mode","Official repo exposes code checkpoints and benchmark evaluation"
