rank,paper_id,title,source_graph,metadata_supported_mechanisms,why_candidate_for_spiketrack_analyst_inference,publication_status_draft,caution
1,S2:a1f6a0471c0c73a7d6bf3dc3d31e9d3775ab26ee,Exploring Dynamic Transformer for Efficient Object Tracking,BOTH,"dynamic routing; intermediate terminating branches; feature recycling; target-aware self-distillation","Supplies separable principles for compute allocation, reuse, and shallow prediction supervision.",JOURNAL_LISTED_UNVERIFIED,"Do not revive conditional whole-MRM1 skipping; the prior sealed-hold-out result remains DIAG_FAIL. Primary paper verification required."
2,S2:5cf588279fa2afc972956ba4c92c227694baa561,LoReTrack: Efficient and Accurate Low-Resolution Transformer Tracking,BOTH,"low-resolution input; QKV knowledge distillation; discrimination knowledge distillation","Directly informs resolution reduction with task- and interaction-aware compensation.",ARXIV_PREPRINT,"Likely preprint version of the 2025 IROS record; resolve the version duplicate before final graph construction."
3,S2:d5a746bc1274ac8da900a4a9c5dd28c38e868419,Two-stream Beats One-stream: Asymmetric Siamese Network for Efficient Visual Tracking,FARTrack,"template computed once; separate template and search branches; unidirectional template modulation","A strong analogue for asking which SpikeTrack template work and target cues can be cached or injected one-way.",ARXIV_PREPRINT,"Architecture is ANN Siamese and cannot be copied directly into an SNN memory-retrieval design."
4,S2:c50a76bd9ce8194f2385e72deae6ec531549a396,LiteTrack: Layer Pruning with Asynchronous Feature Extraction for Lightweight and Efficient Visual Tracking,FARTrack,"asynchronous template-search feature extraction and interaction; encoder-layer pruning","Provides concrete depth-reduction and redundant-template-computation principles for an edge-oriented redesign space.",CONFERENCE_LISTED_UNVERIFIED,"Released measurements mention Jetson Orin NX, not Jetson Nano; primary paper and repository checks remain pending."
5,S2:76b1b82931153f3a49b8bd44f0a7fd248ffe0330,MixFormerV2: Efficient Fully Transformer Tracking,FARTrack,"prediction tokens; simple MLP heads; dense-to-sparse distillation; deep-to-shallow distillation","Connects representation sparsification and depth reduction to explicit distillation targets.",ARXIV_PREPRINT,"ANN token mechanisms require a SpikeTrack-specific analogue and retraining; do not infer direct compatibility."
6,S2:e3d128c4a43fe2d5a9c8e8657cd5926c53197ba8,General Compression Framework for Efficient Transformer Object Tracking,FARTrack,"teacher stage division; replacement training; prediction guidance; stage-wise feature mimicking","Offers a structured way to train shallower modules without relying on arbitrary teacher-student layer pairing.",CONFERENCE_LISTED_UNVERIFIED,"BibTeX year and DOI venue year differ; publication details and method implementation need primary-source verification."
7,S2:7b55c22d062bd52e1cce5044f5e3a97b80f729ea,Exploring Lightweight Hierarchical Vision Transformers for Efficient Visual Tracking,BOTH,"lightweight hierarchical transformer; Bridge Module combining deep semantics with shallow high-resolution features; dual-image positional encoding","Useful for preserving high-level target information when reducing backbone depth or capacity.",CONFERENCE_LISTED_UNVERIFIED,"Reported edge result is Jetson AGX, not Nano. A 2025 IJCV HiT/DyHiT extension is a related but distinct record."
8,S2:7894f95caefadbd03375d4f5b237518226c83f37,Exploring Efficient and Effective Sequence Learning for Visual Object Tracking,BOTH,"parallel one-pass decoder tokens; internal early-exit classifiers","Provides both an efficiency alternative to autoregressive decoding and evidence that sequence structure can dominate latency.",CONFERENCE_LISTED_UNVERIFIED,"Early exit is not automatically transferable to MRM execution; conditional MRM1 skipping remains a closed null-result path."
9,S2:7d642fe91a30be1d27b2440d0c2eff8d3fabd7f2,Exploring Enhanced Contextual Information for Video-Level Object Tracking,FARTrack,"Mamba hidden state for historical context; cross-attention integration at backbone blocks","A donor for comparing persistent temporal state with SpikeTrack template memory and MRM recurrence.",ARXIV_PREPRINT,"Likely adds resident state and cross-attention cost; efficiency transfer is unproven."
10,S2:b795d27606f99de1ad83c90fc73f5bb3157b8c52,Fully Spiking Neural Networks for Unified Frame-Event Object Tracking,SpikeTrack,"fully spiking frame-event fusion; convolutional local plus transformer global modeling; spatial-temporal regularization","Closest direct SNN neighbor for studying spike-compatible representation and temporal training constraints.",ARXIV_PREPRINT,"Frame-event input is materially different from RGB-only SpikeTrack; mechanism transfer and publication status need verification."
