record_id,record_type,candidate_id_or_new,method_or_resource,official_source,previous_blocker_or_scope,observed_delta,evidence_date,code_status,checkpoint_status,evaluator_status,task_modality_fit,resource_or_candidate_state,next_minimum_action,notes
"F6-R01","RESOURCE","CX010","UTPTrack official runtime contract","https://github.com/EIT-NLP/UTPTrack/tree/84e0f49711254a44f5308faaa9a2405db1964dd7/UTPTrack-O","Released construction import chain stopped on torch._six then jpeg4py then visdom before strict load","No post-pin source or release delta. Desk verification found that the official README installation path points to install.sh; that script pins legacy PyTorch and installs jpeg4py and visdom. The source imports torch._six and jpeg4py unconditionally. This official install recipe accounts for every currently known pre-strict-load dependency, although requirements.txt is a separate and non-identical freeze.","2026-08-29","AVAILABLE_PIN_UNCHANGED","AVAILABLE_MAPPING_UNCHANGED","AVAILABLE_MAPPING_UNCHANGED","GENERIC_RGB_BBOX_SOT_WITH_OPTIONAL_MODALITIES","RESOURCE_REENTRY_READY_FOR_F0","Manager may open a new desk F0 to seal README plus install.sh as one recipe and later authorize isolated import and strict-load validation; do not mix the separate requirements freeze without reconciliation.","visdom is documented and installed; jpeg4py is required by the released import path; torch._six is not separately explained but is covered by the legacy PyTorch pin; no environment.yml container or lock file was found. This state authorizes resource sealing only and does not reopen F2 or authorize execution."
"F6-R02","RESOURCE","CX038","MCITrack Fast-iTPN bootstrap","https://github.com/kangben258/MCITrack/tree/e667193eaec4c8a73d4bdd856a662aecdb844b43 | https://drive.google.com/drive/folders/1qDAMcU3JpahV7MriEOl4KfjKvAAFXd3E | https://drive.google.com/file/d/1hxth6RWiJ-3rY21CClZqjl2xsL07Kt17/view","Model construction required missing pretrained/fast_itpn_base_clipl_e1600.pt before the released full tracker checkpoint could strict-load","No post-pin source or release delta. The author-linked pretrained-weight folder publicly exposes the exact file fast_itpn_base_clipl_e1600.pt with stable file ID 1hxth6RWiJ-3rY21CClZqjl2xsL07Kt17. The config names that path and the builder loads it before the final MCITRACK_ep0300.pth.tar strict load. No official bypass is documented and no checksum is exposed.","2026-08-29","AVAILABLE_PIN_UNCHANGED","EXACT_BOOTSTRAP_ASSET_LINKED_STABLE_ID_FULL_CHECKPOINT_MAPPING_UNCHANGED","AVAILABLE_MAPPING_UNCHANGED","GENERIC_RGB_BBOX_SOT","RESOURCE_REENTRY_READY_FOR_F0","Manager may open a new desk F0 to seal the official folder and file IDs plus config and full-checkpoint mapping; any later asset acquisition hash verification construction or strict load requires separate authorization.","The bootstrap remains mandatory on the released main-process construction path even when a full tracker checkpoint is supplied. Exact identity and coherent path mapping satisfy desk reentry; checksum remains to be recorded only after an authorized later acquisition."
"F6-R03","RESOURCE","CX046","JDTrack final tracker checkpoint","https://github.com/hexdjx/VisTrack/tree/f07acc942dfdc0bf78f437955a3ae1fc5e62b7fc | https://drive.google.com/drive/folders/182NbsBrVR9PICR9aSkb2IhUDvrlSsTDT","Required JDTrack_online_target_fuse.pth.tar availability and mapping were unresolved","Current author repository head remains the pinned commit and has no release. The author-linked Google Drive model hierarchy still does not expose the required JDTrack_online_target_fuse.pth.tar name or a JDTrack-specific mapping.","2026-08-29","AVAILABLE_PIN_UNCHANGED","REQUIRED_TRACKER_FILE_AVAILABILITY_UNRESOLVED","AVAILABLE_MAPPING_UNCHANGED","GENERIC_RGB_BBOX_SOT","RESOURCE_HOLD_NO_CHANGE","Keep on resource hold; request an author-controlled exact file link and evaluator/config mapping before any F0 reentry.","Only the official delta surface was checked; no prior deep audit was repeated and no community workaround was accepted."
"F6-R04","RESOURCE","CX051","UMDATrack stage-2 asset config evaluator contract","https://github.com/Z-Z188/UMDATrack/tree/5d609bfcfb3a27161f9f4bd23bda518d6656909c | https://drive.google.com/drive/folders/1fondgxHRdglg9JZkg_UkfqqSUmhqLUA9","Official stage-2 assets and hard-coded checkpoint config evaluator mapping were incoherent","Current author repository head remains the pinned commit and has no release. The official stage2 folder exposes dark haze and rainy prompt ep0050 weights, but the previously unresolved got10k_haze registry and generated evaluator-path contract are not repaired by an official delta.","2026-08-29","AVAILABLE_PIN_UNCHANGED","OFFICIAL_ASSETS_PRESENT_MAPPING_UNRESOLVED","INCOHERENT_RELEASE_PROTOCOL_UNCHANGED","RGB_BBOX_SOT_ADVERSE_WEATHER","RESOURCE_HOLD_NO_CHANGE","Keep on resource hold until the authors publish one exact stage-2 checkpoint-to-config-to-dataset-registry evaluator mapping.","Only official release and asset deltas were checked; no inferred manual mapping was promoted."
"F6-R05","RESOURCE","CX053","UncTrack PMN export runtime contract","https://github.com/ManOfStory/UncTrack/tree/61bd4be673ac32dd8948f995ce4548855d0ab1d0","PMN mask and mutable K/V export/runtime contract did not generalize","Current author repository head remains the pinned commit and has no release. No official code or release documentation resolves the exact bounded-state PMN mask and mutable K/V export/runtime blocker.","2026-08-29","AVAILABLE_PIN_UNCHANGED","AVAILABLE_MAPPING_UNCHANGED","AVAILABLE_MAPPING_UNCHANGED","GENERIC_RGB_BBOX_SOT","RESOURCE_HOLD_NO_CHANGE","Keep on resource hold pending an author-controlled bounded-state export/runtime contract; do not resume repair or runtime probing.","Only the official delta surface was checked; the previous deep audit was not repeated."
"F6-N01","NEW_CANDIDATE","NEW-2026-TGTRACK","TGTrack: Temporal Generative Learning for Unified Single Object Tracking","https://openaccess.thecvf.com/content/CVPR2026/html/Geng_TGTrack_Temporal_Generative_Learning_for_Unified_Single_Object_Tracking_CVPR_2026_paper.html | https://github.com/wtg1/TGTrack/tree/797d971c073488c4708c6b12cd58dfb74d07f4c6","Accepted 2026 generic RGB-capable bounding-box SOT family absent from the canonical matrix and Stage-1 manifest","Official CVPR 2026 paper and author repository found. The current repository contains only a minimal README and exposes no implementation trained checkpoint or evaluator.","2026-08-29","PLACEHOLDER_ONLY","NOT_AVAILABLE","NOT_AVAILABLE","GENERIC_RGB_CORE_WITH_UNIFIED_MODALITIES","NEW_CANDIDATE_REFERENCE_ONLY","Monitor the official repository for a substantive code checkpoint and evaluator release; do not open F0 yet.","New family name was not found in the canonical matrix source manifest or references."
"F6-N02","NEW_CANDIDATE","NEW-2026-ODONET","ODONet: Online Dynamic Offset Network for Visual Object Tracking","https://eccv.ecva.net/virtual/2026/poster/4749 | https://github.com/WhiteButterflies/ODONet/tree/5e9469d7dc85924192687eaa2f919bef39518f50","Accepted 2026 generic RGB bounding-box SOT family absent from the canonical matrix and Stage-1 manifest","Official ECCV 2026 entry and author repository found. Code configs and evaluator are present and an author-linked model bundle exists; however the exact trained checkpoint identity-to-config mapping was not verified and the documented Fast-iTPN pretrain link remains TODO.","2026-08-29","AVAILABLE","OFFICIAL_BUNDLE_LINKED_EXACT_MAPPING_UNVERIFIED","AVAILABLE","GENERIC_RGB_BBOX_SOT","NEW_CANDIDATE_REFERENCE_ONLY","Request or await an exact author-controlled checkpoint filename ID and config mapping plus the required pretrain link before F0.","No asset was downloaded and no dynamic bundle content was inferred into an exact mapping."
"F6-N03","NEW_CANDIDATE","NEW-2026-MAST","MaST: Motion-aware Sparse Pipeline for Lightweight Object Tracking","https://eccv.ecva.net/virtual/2026/poster/5707 | https://github.com/TsingWei/MaST/tree/3d507e9285efd6661efb5e3fe7b388b46ee041e8","Accepted 2026 generic RGB bounding-box SOT family absent from the canonical matrix and Stage-1 manifest","Official ECCV 2026 entry and author repository found. The release commits three trained ONNX tracker files; its registry maps MaST nano small and tiny to exact filenames; a pinned requirements file and multi-benchmark evaluator are present.","2026-08-29","AVAILABLE","TRAINED_ONNX_ARTIFACTS_COMMITTED_AND_EXACTLY_MAPPED","AVAILABLE","GENERIC_RGB_BBOX_SOT","NEW_CANDIDATE_F0_READY","Manager may open a desk F0 to seal exact commit blob identities licenses model registry initialization contract and evaluator protocol; model execution remains unauthorized.","Readiness is resource-level only. No model checkpoint evaluator or profiler was executed."
"F6-N04","NEW_CANDIDATE","NEW-2026-SENTRY","SENTRY: SAM2-Enhanced Neighbor-Aware and Temporally Reasoned Memory for Visual Tracking","https://eccv.ecva.net/virtual/2026/poster/4693 | https://github.com/HamadYA/SENTRY/tree/dd4486c7eeadd7e7022854e29e95e3101390ce65","Accepted 2026 generic RGB bounding-box SOT family absent from the canonical matrix and Stage-1 manifest","Official ECCV 2026 entry and author repository found. SENTRY is training-free; code configs environment metadata demo and bbox benchmark evaluator are released. The official script maps four exact SAM2.1 base-checkpoint filenames to Meta-hosted URLs.","2026-08-29","AVAILABLE","BASE_ONLY_TRAINING_FREE_EXACT_DOWNLOAD_CONTRACT","AVAILABLE","GENERIC_RGB_BBOX_SOT_WITH_MASK_HOST","NEW_CANDIDATE_F0_READY","Manager may open a desk F0 to seal the selected host variant exact base-checkpoint URL license dependency and bbox evaluator contract; model execution remains unauthorized.","No SENTRY-trained checkpoint is expected by the published training-free contract. Third-party host licensing and full-state runtime cost remain later-gate questions not F6 claims."
"F6-N05","NEW_CANDIDATE","NEW-2026-DASTRACK","DASTrack: Rethinking Temporal Modeling in Visual Object Tracking via Decoupled Auxiliary Supervision","https://eccv.ecva.net/virtual/2026/poster/4704","Accepted 2026 generic RGB bounding-box SOT family absent from the canonical matrix and Stage-1 manifest","Official ECCV 2026 accepted-paper entry found. The bounded exact-title and author-resource search did not find an official implementation trained tracker checkpoint or evaluator.","2026-08-29","NOT_FOUND_IN_BOUNDED_SEARCH","NOT_FOUND_IN_BOUNDED_SEARCH","NOT_FOUND_IN_BOUNDED_SEARCH","GENERIC_RGB_BBOX_SOT_BY_PAPER_SCOPE","NEW_CANDIDATE_REFERENCE_ONLY","Monitor the official venue entry and author channels for a first-party resource release; do not open F0 yet.","Acceptance is confirmed; resource absence means reference-only and no scientific ranking claim."
