proposal_id,dataset,sequence,group,broad_superclass,object_class,official_attributes,interval_start,interval_end,interval_length,evidence_tier,distractor_description,similarity_basis,search_context_status,midpoint_distractor_bbox_or_na,target_visibility,occlusion_state,fast_motion_from_gt,low_resolution_from_gt,scan_method,proposed_split,contact_sheet_path,manager_review_status,notes,manager_r1_decision,corrected_tier,bounds_review_state,final_provisional_group,fast_motion_flag,low_resolution_flag,median_target_area_ratio,min_target_area_ratio,max_target_area_ratio,median_center_displacement_px,p90_center_displacement_px,p90_motion_normalized,end_to_start_area_ratio,max_to_min_area_ratio,median_abs_log_area_step,p90_center_displacement_normalized_by_target_scale,median_absolute_log_area_step,target_visibility_category,occlusion_category,r1_evidence_tier,r1_contact_sheet_path,r2_pair_sheet_path
R1-P01,OTB100,Basketball,DISCOVERY,PERSON,person,IV|OCC|DEF|OPR|BC,397,435,39,TIER_A,Celtics teammate in matching green uniform co-occurs near target player #9,same class; same team role and uniform; comparable full-body scale,INSIDE_NOMINAL_SEARCH,130 137 72 93,FULLY_VISIBLE,NONE,false,false,25 uniform coarse frames; frame-by-frame source+GT refinement 375-435; no tracker output,DISCOVERY_CANDIDATE,screening/codex/artifacts/stage4A_S1_R2/pair_sheets/R2_PAIR_P01.jpg,PENDING_R2_REVIEW,Manager-accepted primary; original bounds retained.,ACCEPT_PRIMARY_TIER_A,TIER_A,NOT_REQUIRED,DISCOVERY,false,false,0.011068,0.011068,0.011068,2.000,3.724,0.070960,1.000,1.000,0.0000,0.070960,0.0000,FULLY_VISIBLE,NONE,TIER_A,screening/codex/artifacts/stage4A_S1_R1/contact_sheets/R1-P01_Basketball_397_435.jpg,screening/codex/artifacts/stage4A_S1_R2/pair_sheets/R2_PAIR_P01.jpg
R1-P02,OTB100,Bolt,DISCOVERY,PERSON,person,OCC|DEF|IPR|OPR,31,49,19,TIER_B,Adjacent dark-kit sprinter remains one lane from the target,same class; comparable build scale and sprint pose,INSIDE_NOMINAL_SEARCH,279 151 45 61,FULLY_VISIBLE,NONE,false,false,25 uniform coarse frames; frame-by-frame source+GT refinement 1-60; no tracker output,DISCOVERY_CANDIDATE,screening/codex/artifacts/stage4A_S1_R2/pair_sheets/R2_PAIR_P02.jpg,PENDING_R2_REVIEW,Manager-accepted primary; original bounds retained.,ACCEPT_PRIMARY_TIER_B,TIER_B,NOT_REQUIRED,DISCOVERY,false,false,0.006884,0.006884,0.006884,1.207,2.465,0.061903,1.000,1.000,0.0000,0.061903,0.0000,FULLY_VISIBLE,NONE,TIER_B,screening/codex/artifacts/stage4A_S1_R1/contact_sheets/R1-P02_Bolt_31_49.jpg,screening/codex/artifacts/stage4A_S1_R2/pair_sheets/R2_PAIR_P02.jpg
R1-P03,OTB100,Crowds,HOLDOUT,PERSON,person,IV|DEF|BC,33,37,5,TIER_B,Light-top adult pedestrian stays immediately lower-left of the target,same class and adult pedestrian silhouette at comparable overhead-view scale,INSIDE_NOMINAL_SEARCH,415 338 29 47,VISIBLE_WITH_EDGE_OVERLAP,PARTIAL,false,false,25 uniform coarse frames; frame-by-frame source+GT refinement 1-60; no tracker output,HOLDOUT_CANDIDATE,screening/codex/artifacts/stage4A_S1_R2/pair_sheets/R2_PAIR_P03.jpg,PENDING_R2_REVIEW,Frames 33-37 were rescanned source-only. The same light-top adult remains lower-left of the GT target for all five frames; the GT target remains visible and the event is inside the nominal search context. Frames 32 and 38 were not added because the five-frame core is the least ambiguous continuous event.,ACCEPT_PRIMARY_TIER_B_BOUNDS_TO_RECHECK,TIER_B,BOUNDS_CONFIRMED,HOLDOUT,false,false,0.003896,0.003896,0.003896,2.236,4.171,0.124516,1.000,1.000,0.0000,0.124516,0.0000,VISIBLE_WITH_EDGE_OVERLAP,PARTIAL,TIER_B,screening/codex/artifacts/stage4A_S1_R1/contact_sheets/R1-P03_Crowds_33_37.jpg,screening/codex/artifacts/stage4A_S1_R2/pair_sheets/R2_PAIR_P03.jpg
R1-P04,OTB100,BlurCar2,DISCOVERY,VEHICLE,car,SV|MB|FM,420,440,21,TIER_B,Light silver sedan remains immediately ahead-right of the target car,same class; comparable rear-facing sedan profile and road scale,INSIDE_NOMINAL_SEARCH,365 180 95 65,FULLY_VISIBLE,NONE,false,false,25 uniform coarse frames; frame-by-frame source+GT refinement 390-450; no tracker output,DISCOVERY_CANDIDATE,screening/codex/artifacts/stage4A_S1_R2/pair_sheets/R2_PAIR_P04.jpg,PENDING_R2_REVIEW,Manager-accepted primary; original bounds retained.,ACCEPT_PRIMARY_TIER_B,TIER_B,NOT_REQUIRED,DISCOVERY,false,false,0.027829,0.023467,0.033770,23.171,43.751,0.495366,1.232,1.439,0.0822,0.495366,0.0822,FULLY_VISIBLE,NONE,TIER_B,screening/codex/artifacts/stage4A_S1_R1/contact_sheets/R1-P04_BlurCar2_420_440.jpg,screening/codex/artifacts/stage4A_S1_R2/pair_sheets/R2_PAIR_P04.jpg
R1-P05,OTB100,BlurCar4,HOLDOUT,VEHICLE,car,MB|FM,255,279,25,TIER_A,Dark SUV or pickup travels parallel in the adjacent right lane,same class and dark rear silhouette at comparable scale,INSIDE_NOMINAL_SEARCH,344 177 162 145,FULLY_VISIBLE,NONE,false,false,25 uniform coarse frames; frame-by-frame source+GT refinement 230-290; no tracker output,HOLDOUT_CANDIDATE,screening/codex/artifacts/stage4A_S1_R2/pair_sheets/R2_PAIR_P05.jpg,PENDING_R2_REVIEW,Manager-accepted primary; original bounds retained.,ACCEPT_PRIMARY_TIER_A,TIER_A,NOT_REQUIRED,HOLDOUT,false,false,0.069863,0.062734,0.081055,19.956,33.374,0.228103,1.037,1.292,0.0506,0.228103,0.0506,FULLY_VISIBLE,NONE,TIER_A,screening/codex/artifacts/stage4A_S1_R1/contact_sheets/R1-P05_BlurCar4_255_279.jpg,screening/codex/artifacts/stage4A_S1_R2/pair_sheets/R2_PAIR_P05.jpg
R1-P07,OTB100,Bird1,DISCOVERY,ANIMAL,bird,DEF|FM|OV,194,198,5,TIER_A,Separate black bird with matching size and wing silhouette passes upper-left,same class; similar dark body and wing form at comparable scale,NEAR_SEARCH_BOUNDARY,247 132 61 45,DISCERNIBLE_WITH_WING_CLUTTER,PARTIAL,false,false,25 uniform coarse frames; frame-by-frame source+GT refinement 180-230; no tracker output,DISCOVERY_CANDIDATE,screening/codex/artifacts/stage4A_S1_R2/pair_sheets/R2_PAIR_P07.jpg,PENDING_R2_REVIEW,Manager-accepted primary; original five-frame core retained.,ACCEPT_PRIMARY_TIER_A,TIER_A,NOT_REQUIRED,DISCOVERY,false,false,0.003983,0.003983,0.003983,0.000,2.800,0.082675,1.000,1.000,0.0000,0.082675,0.0000,DISCERNIBLE_WITH_WING_CLUTTER,PARTIAL,TIER_A,screening/codex/artifacts/stage4A_S1_R1/contact_sheets/R1-P07_Bird1_194_198.jpg,screening/codex/artifacts/stage4A_S1_R2/pair_sheets/R2_PAIR_P07.jpg
R1-P09,OTB100,Liquor,DISCOVERY,OBJECT_OTHER,other,IV|SV|OCC|MB|FM|OPR|OV|BC,565,589,25,TIER_A,Dark-brown rectangular mini bottle with red cap remains beside target bottle,same functional role; upright bottle silhouette and comparable scale,INSIDE_NOMINAL_SEARCH,354 190 93 147,FULLY_VISIBLE,NONE,false,false,25 uniform coarse frames; frame-by-frame source+GT refinement 540-620; no tracker output,DISCOVERY_CANDIDATE,screening/codex/artifacts/stage4A_S1_R2/pair_sheets/R2_PAIR_P09.jpg,PENDING_R2_REVIEW,Manager-accepted primary; original bounds retained.,ACCEPT_PRIMARY_TIER_A,TIER_A,NOT_REQUIRED,DISCOVERY,false,false,0.049902,0.049902,0.049902,0.000,0.000,0.000000,1.000,1.000,0.0000,0.000000,0.0000,FULLY_VISIBLE,NONE,TIER_A,screening/codex/artifacts/stage4A_S1_R1/contact_sheets/R1-P09_Liquor_565_589.jpg,screening/codex/artifacts/stage4A_S1_R2/pair_sheets/R2_PAIR_P09.jpg
R1-P10,OTB100,Football,DISCOVERY,FACE_HEAD,person head,OCC|IPR|OPR|BC,130,154,25,TIER_A,Striped helmet of a light-uniform player stays immediately upper-left of target helmet,same role and near-identical football helmet form at comparable head scale,INSIDE_NOMINAL_SEARCH,258 17 45 52,HELMET_VISIBLE,PARTIAL,false,false,25 uniform coarse frames; frame-by-frame source+GT refinement 130-190; no tracker output,DISCOVERY_CANDIDATE,screening/codex/artifacts/stage4A_S1_R2/pair_sheets/R2_PAIR_P10.jpg,PENDING_R2_REVIEW,Manager-accepted primary; original bounds retained.,ACCEPT_PRIMARY_TIER_A,TIER_A,NOT_REQUIRED,DISCOVERY,false,false,0.007171,0.006811,0.008796,2.732,5.542,0.140517,1.000,1.291,0.0110,0.140517,0.0110,HELMET_VISIBLE,PARTIAL,TIER_A,screening/codex/artifacts/stage4A_S1_R1/contact_sheets/R1-P10_Football_130_154.jpg,screening/codex/artifacts/stage4A_S1_R2/pair_sheets/R2_PAIR_P10.jpg
R1-P11,OTB100,Football1,HOLDOUT,FACE_HEAD,face,IPR|OPR|BC,26,50,25,TIER_B,Silver-helmeted defender remains pressed upper-right of dark target head,same head/helmet role and comparable scale; opponent colors differ,INSIDE_NOMINAL_SEARCH,143 52 54 66,HEAD_DISCERNIBLE,PARTIAL,false,false,all 74 source frames reviewed; frame-by-frame refinement 1-74; no tracker output,HOLDOUT_CANDIDATE,screening/codex/artifacts/stage4A_S1_R2/pair_sheets/R2_PAIR_P11.jpg,PENDING_R2_REVIEW,Manager-accepted primary; original bounds retained.,ACCEPT_PRIMARY_TIER_B,TIER_B,NOT_REQUIRED,HOLDOUT,false,false,0.012301,0.011028,0.014846,5.000,7.413,0.212389,0.829,1.346,0.0000,0.212389,0.0000,HEAD_DISCERNIBLE,PARTIAL,TIER_B,screening/codex/artifacts/stage4A_S1_R1/contact_sheets/R1-P11_Football1_26_50.jpg,screening/codex/artifacts/stage4A_S1_R2/pair_sheets/R2_PAIR_P11.jpg
R1-P12,OTB100,Soccer,HOLDOUT,FACE_HEAD,face,IV|SV|OCC|MB|FM|IPR|OPR|BC,170,180,11,TIER_B,Dark-haired red-shirted teammate face remains immediately right of target face,same team role; nearly identical face scale and close crowd placement,NEAR_SEARCH_BOUNDARY,470 185 65 80,FACE_VISIBLE_WITH_CLUTTER,PARTIAL,false,false,25 uniform coarse frames; frame-by-frame source+GT refinement 160-240; no tracker output,HOLDOUT_CANDIDATE,screening/codex/artifacts/stage4A_S1_R2/pair_sheets/R2_PAIR_P12.jpg,PENDING_R2_REVIEW,Manager-required Tier B correction applied; original bounds retained.,ACCEPT_PRIMARY_DOWNGRADE_TIER_B,TIER_B,NOT_REQUIRED,HOLDOUT,false,false,0.019913,0.018802,0.021875,5.214,6.837,0.101066,1.062,1.163,0.0449,0.101066,0.0449,FACE_VISIBLE_WITH_CLUTTER,PARTIAL,TIER_A,screening/codex/artifacts/stage4A_S1_R1/contact_sheets/R1-P12_Soccer_170_180.jpg,screening/codex/artifacts/stage4A_S1_R2/pair_sheets/R2_PAIR_P12.jpg
