record_id,dataset,sequence,frame_count,object_class,official_attributes,candidate_distractor_reason,potential_control_sequence_reason,inspection_basis,completeness,manager_review_status,notes
E2-OTB100-001,OTB100,Basketball,725,person,IV|OCC|DEF|OPR|BC,"Direct observation in the fixed samples: numerous non-annotated basketball players of the same person class co-occur at comparable scale, often in similar uniforms.",,"Direct observation: fixed canonical first/lower-middle/last JPGs 0001.jpg/0363.jpg/0725.jpg. Metadata/file basis: pinned evaluator for canonical order, object class, frame range, and GT map; official attribute JSON for tags; full canonical-image decode and GT-row-count checks.",COMPLETE,PENDING,Canonical range 1-725; 725 frames. GT mapping Basketball/groundtruth_rect.txt has 725 rows mapped sequentially. Local canonical images and GT text are readable.
E2-OTB100-002,OTB100,Biker,142,person head,SV|OCC|MB|FM|OPR|OV|LR,,Direct observation in all fixed samples: one cyclist is isolated on the rail line with no second person or bicycle.,"Direct observation: fixed canonical first/lower-middle/last JPGs 0001.jpg/0071.jpg/0142.jpg. Metadata/file basis: pinned evaluator for canonical order, object class, frame range, and GT map; official attribute JSON for tags; full canonical-image decode and GT-row-count checks.",COMPLETE,PENDING,Canonical range 1-142; 142 frames. GT mapping Biker/groundtruth_rect.txt has 142 rows mapped sequentially. Local canonical images and GT text are readable.
E2-OTB100-003,OTB100,Bird1,408,bird,DEF|FM|OV,Direct observation in the fixed samples: several non-annotated birds with similar silhouettes co-occur with the annotated bird.,,"Direct observation: fixed canonical first/lower-middle/last JPGs 0001.jpg/0204.jpg/0408.jpg. Metadata/file basis: pinned evaluator for canonical order, object class, frame range, and GT map; official attribute JSON for tags; full canonical-image decode and GT-row-count checks.",COMPLETE,PENDING,Canonical range 1-408; 408 frames. GT mapping Bird1/groundtruth_rect.txt has 408 rows mapped sequentially. Local canonical images and GT text are readable.
E2-OTB100-004,OTB100,Bird2,99,bird,OCC|DEF|FM|IPR|OPR,Direct observation in the fixed samples: multiple non-annotated bird characters co-occur around the annotated bird.,,"Direct observation: fixed canonical first/lower-middle/last JPGs 0001.jpg/0050.jpg/0099.jpg. Metadata/file basis: pinned evaluator for canonical order, object class, frame range, and GT map; official attribute JSON for tags; full canonical-image decode and GT-row-count checks.",COMPLETE,PENDING,Canonical range 1-99; 99 frames. GT mapping Bird2/groundtruth_rect.txt has 99 rows mapped sequentially. Local canonical images and GT text are readable.
E2-OTB100-005,OTB100,BlurBody,334,person,SV|DEF|MB|FM|IPR,,Direct observation in all fixed samples: one indoor pedestrian is visible and no comparable person co-occurs.,"Direct observation: fixed canonical first/lower-middle/last JPGs 0001.jpg/0167.jpg/0334.jpg. Metadata/file basis: pinned evaluator for canonical order, object class, frame range, and GT map; official attribute JSON for tags; full canonical-image decode and GT-row-count checks.",COMPLETE,PENDING,Canonical range 1-334; 334 frames. GT mapping BlurBody/groundtruth_rect.txt has 334 rows mapped sequentially. Local canonical images and GT text are readable.
E2-OTB100-006,OTB100,BlurCar1,742,car,MB|FM,"Direct observation in the fixed samples: several non-annotated cars, SUVs, and trucks share adjacent road lanes with the annotated car.",,"Direct observation: fixed canonical first/lower-middle/last JPGs 0247.jpg/0617.jpg/0988.jpg. Metadata/file basis: pinned evaluator for canonical order, object class, frame range, and GT map; official attribute JSON for tags; full canonical-image decode and GT-row-count checks.",COMPLETE,PENDING,Canonical range 247-988; 742 frames. GT mapping BlurCar1/groundtruth_rect.txt has 742 rows mapped sequentially. Local canonical images and GT text are readable.
E2-OTB100-007,OTB100,BlurCar2,585,car,SV|MB|FM,Direct observation in the fixed samples: multiple non-annotated cars of comparable road scale surround the annotated car.,,"Direct observation: fixed canonical first/lower-middle/last JPGs 0001.jpg/0293.jpg/0585.jpg. Metadata/file basis: pinned evaluator for canonical order, object class, frame range, and GT map; official attribute JSON for tags; full canonical-image decode and GT-row-count checks.",COMPLETE,PENDING,Canonical range 1-585; 585 frames. GT mapping BlurCar2/groundtruth_rect.txt has 585 rows mapped sequentially. Local canonical images and GT text are readable.
E2-OTB100-008,OTB100,BlurCar3,357,car,MB|FM,Direct observation in the fixed samples: multiple non-annotated cars occupy adjacent lanes at comparable scale.,,"Direct observation: fixed canonical first/lower-middle/last JPGs 0003.jpg/0181.jpg/0359.jpg. Metadata/file basis: pinned evaluator for canonical order, object class, frame range, and GT map; official attribute JSON for tags; full canonical-image decode and GT-row-count checks.",COMPLETE,PENDING,Canonical range 3-359; 357 frames. GT mapping BlurCar3/groundtruth_rect.txt has 357 rows mapped sequentially. Local canonical images and GT text are readable.
E2-OTB100-009,OTB100,BlurCar4,380,car,MB|FM,Direct observation in the fixed samples: several non-annotated cars and dark pickups/SUVs co-occur at closely comparable scale.,,"Direct observation: fixed canonical first/lower-middle/last JPGs 0018.jpg/0207.jpg/0397.jpg. Metadata/file basis: pinned evaluator for canonical order, object class, frame range, and GT map; official attribute JSON for tags; full canonical-image decode and GT-row-count checks.",COMPLETE,PENDING,Canonical range 18-397; 380 frames. GT mapping BlurCar4/groundtruth_rect.txt has 380 rows mapped sequentially. Local canonical images and GT text are readable.
E2-OTB100-010,OTB100,BlurFace,493,face,MB|FM|IPR,,Direct observation in all fixed samples: one face is isolated against an office background.,"Direct observation: fixed canonical first/lower-middle/last JPGs 0001.jpg/0247.jpg/0493.jpg. Metadata/file basis: pinned evaluator for canonical order, object class, frame range, and GT map; official attribute JSON for tags; full canonical-image decode and GT-row-count checks.",COMPLETE,PENDING,Canonical range 1-493; 493 frames. GT mapping BlurFace/groundtruth_rect.txt has 493 rows mapped sequentially. Local canonical images and GT text are readable.
E2-OTB100-011,OTB100,BlurOwl,631,other,SV|MB|FM|IPR,,Direct observation in all fixed samples: one wall-mounted poster/sign is isolated against a plain wall.,"Direct observation: fixed canonical first/lower-middle/last JPGs 0001.jpg/0316.jpg/0631.jpg. Metadata/file basis: pinned evaluator for canonical order, object class, frame range, and GT map; official attribute JSON for tags; full canonical-image decode and GT-row-count checks.",COMPLETE,PENDING,Canonical range 1-631; 631 frames. GT mapping BlurOwl/groundtruth_rect.txt has 631 rows mapped sequentially. Local canonical images and GT text are readable.
E2-OTB100-012,OTB100,Board,698,other,SV|MB|FM|OPR|OV|BC,Direct observation in the fixed samples: the annotated swinging circuit board co-occurs with a separate circuit board lying on the desk.,,"Direct observation: fixed canonical first/lower-middle/last JPGs 00001.jpg/00349.jpg/00698.jpg. Metadata/file basis: pinned evaluator for canonical order, object class, frame range, and GT map; official attribute JSON for tags; full canonical-image decode and GT-row-count checks.",COMPLETE,PENDING,Canonical range 1-698; 698 frames. GT mapping Board/groundtruth_rect.txt has 698 rows mapped sequentially. Local canonical images and GT text are readable.
E2-OTB100-013,OTB100,Bolt,350,person,OCC|DEF|IPR|OPR,Direct observation in the fixed samples: many non-annotated sprinters co-occur at comparable scale on the same track.,,"Direct observation: fixed canonical first/lower-middle/last JPGs 0001.jpg/0175.jpg/0350.jpg. Metadata/file basis: pinned evaluator for canonical order, object class, frame range, and GT map; official attribute JSON for tags; full canonical-image decode and GT-row-count checks.",COMPLETE,PENDING,Canonical range 1-350; 350 frames. GT mapping Bolt/groundtruth_rect.txt has 350 rows mapped sequentially. Local canonical images and GT text are readable.
E2-OTB100-014,OTB100,Bolt2,293,person,DEF|BC,Direct observation in the fixed samples: multiple non-annotated sprinters co-occur at comparable scale throughout the race.,,"Direct observation: fixed canonical first/lower-middle/last JPGs 0001.jpg/0147.jpg/0293.jpg. Metadata/file basis: pinned evaluator for canonical order, object class, frame range, and GT map; official attribute JSON for tags; full canonical-image decode and GT-row-count checks.",COMPLETE,PENDING,Canonical range 1-293; 293 frames. GT mapping Bolt2/groundtruth_rect.txt has 293 rows mapped sequentially. Local canonical images and GT text are readable.
E2-OTB100-015,OTB100,Box,1161,other,IV|SV|OCC|MB|IPR|OPR|OV|BC|LR,,,"Direct observation: fixed canonical first/lower-middle/last JPGs 0001.jpg/0581.jpg/1161.jpg. Metadata/file basis: pinned evaluator for canonical order, object class, frame range, and GT map; official attribute JSON for tags; full canonical-image decode and GT-row-count checks.",COMPLETE,PENDING,Canonical range 1-1161; 1161 frames. GT mapping Box/groundtruth_rect.txt has 1161 rows mapped sequentially. Local canonical images and GT text are readable.
E2-OTB100-016,OTB100,Boy,602,face,SV|MB|FM|IPR|OPR,,Direct observation in all fixed samples: one person/face is isolated in the hallway.,"Direct observation: fixed canonical first/lower-middle/last JPGs 0001.jpg/0301.jpg/0602.jpg. Metadata/file basis: pinned evaluator for canonical order, object class, frame range, and GT map; official attribute JSON for tags; full canonical-image decode and GT-row-count checks.",COMPLETE,PENDING,Canonical range 1-602; 602 frames. GT mapping Boy/groundtruth_rect.txt has 602 rows mapped sequentially. Local canonical images and GT text are readable.
E2-OTB100-017,OTB100,Car1,1020,car,IV|SV|MB|FM|BC|LR,Direct observation in the fixed samples: several non-annotated cars share the road with the annotated car at comparable scale.,,"Direct observation: fixed canonical first/lower-middle/last JPGs 0001.jpg/0510.jpg/1020.jpg. Metadata/file basis: pinned evaluator for canonical order, object class, frame range, and GT map; official attribute JSON for tags; full canonical-image decode and GT-row-count checks.",COMPLETE,PENDING,Canonical range 1-1020; 1020 frames. GT mapping Car1/groundtruth_rect.txt has 1020 rows mapped sequentially. Local canonical images and GT text are readable.
E2-OTB100-018,OTB100,Car2,913,car,IV|SV|MB|FM|BC,Direct observation in the fixed samples: non-annotated cars and vans co-occur in adjacent lanes around the annotated car.,,"Direct observation: fixed canonical first/lower-middle/last JPGs 0001.jpg/0457.jpg/0913.jpg. Metadata/file basis: pinned evaluator for canonical order, object class, frame range, and GT map; official attribute JSON for tags; full canonical-image decode and GT-row-count checks.",COMPLETE,PENDING,Canonical range 1-913; 913 frames. GT mapping Car2/groundtruth_rect.txt has 913 rows mapped sequentially. Local canonical images and GT text are readable.
E2-OTB100-019,OTB100,Car24,3059,car,IV|SV|BC,Direct observation in the fixed samples: several non-annotated cars co-occur across neighboring highway lanes.,,"Direct observation: fixed canonical first/lower-middle/last JPGs 0001.jpg/1530.jpg/3059.jpg. Metadata/file basis: pinned evaluator for canonical order, object class, frame range, and GT map; official attribute JSON for tags; full canonical-image decode and GT-row-count checks.",COMPLETE,PENDING,Canonical range 1-3059; 3059 frames. GT mapping Car24/groundtruth_rect.txt has 3059 rows mapped sequentially. Local canonical images and GT text are readable.
E2-OTB100-020,OTB100,Car4,659,car,IV|SV,Direct observation in the fixed samples: multiple non-annotated cars and SUVs co-occur at comparable scale.,,"Direct observation: fixed canonical first/lower-middle/last JPGs 0001.jpg/0330.jpg/0659.jpg. Metadata/file basis: pinned evaluator for canonical order, object class, frame range, and GT map; official attribute JSON for tags; full canonical-image decode and GT-row-count checks.",COMPLETE,PENDING,Canonical range 1-659; 659 frames. GT mapping Car4/groundtruth_rect.txt has 659 rows mapped sequentially. Local canonical images and GT text are readable.
E2-OTB100-021,OTB100,CarDark,393,car,IV|BC,Direct observation in the fixed samples: numerous non-annotated cars co-occur on the same night street.,,"Direct observation: fixed canonical first/lower-middle/last JPGs 0001.jpg/0197.jpg/0393.jpg. Metadata/file basis: pinned evaluator for canonical order, object class, frame range, and GT map; official attribute JSON for tags; full canonical-image decode and GT-row-count checks.",COMPLETE,PENDING,Canonical range 1-393; 393 frames. GT mapping CarDark/groundtruth_rect.txt has 393 rows mapped sequentially. Local canonical images and GT text are readable.
